TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,CLOSE,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TOTTRDQTY,TOTTRDVAL,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-24,2026-03-24,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,13399.0,13525.0,13107.02,13488.5,13479.9,12990.97,,13487.87,,,232,3100904.33,88,F1,1,,,,,
2026-03-24,2026-03-24,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,13206.51,13660.0,13206.51,13607.18,13660.0,13142.66,,13605.87,,,271,3643366.08,99,F1,1,,,,,
2026-03-24,2026-03-24,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,13300.0,13600.01,13211.0,13518.15,13522.05,13154.5,,13510.43,,,837,11268645.58,227,F1,1,,,,,
2026-03-24,2026-03-24,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,13361.6,13747.6,13290.0,13523.73,13549.0,12982.61,,13523.97,,,331,4442911.52,101,F1,1,,,,,
2026-03-24,2026-03-24,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,13133.5,13600.0,13133.5,13597.4,13600.0,13129.75,,13615.56,,,438,5877586.34,152,F1,1,,,,,
2026-03-24,2026-03-24,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,13121.0,13669.99,13108.35,13455.89,13550.0,13108.35,,13434.83,,,610,8184594.91,198,F1,1,,,,,
2026-03-24,2026-03-24,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,13201.0,13797.0,13201.0,13605.65,13650.0,13061.49,,13590.22,,,617,8319157.97,150,F1,1,,,,,
2026-03-24,2026-03-24,CM,NSE,STK,2891,IN0020180033,SGBMAY26,GB,,,,,2.50%GOLDBONDS2026SR-I,13347.9,13650.01,13299.0,13447.75,13447.75,12960.47,,13447.75,,,299,4033769.13,60,F1,1,,,,,
2026-03-24,2026-03-24,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,13360.0,13615.87,13360.0,13564.0,13564.0,12923.57,,13564.0,,,45,609117.11,12,F1,1,,,,,
2026-03-24,2026-03-24,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,13005.55,13540.0,13000.0,13436.09,13436.09,12906.62,,13458.05,,,331,4409196.64,39,F1,1,,,,,
