TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,SYMBOL,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW
2025-11-06,2025-11-06,CM,NSE,STK,25597,INE939X01013,MANBA,EQ,,,,,MANBA FINANCE LIMITED,144.0,144.0,137.11,139.02,138.77,142.11,,139.05,,,78861,11040011.32,1005,F1,1,,,,,,MANBA,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,24823,INE545L01039,MANCREDIT,EQ,,,,,MANGAL CREDIT N FINCORP L,184.65,185.79,176.5,178.84,177.25,183.66,,178.85,,,32515,5870763.15,1469,F1,1,,,,,,MANCREDIT,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,758748,INE0PKD01011,MEIL,EQ,,,,,MANGAL ELECTRICAL IND L,456.8,460.55,448.2,449.8,448.2,461.15,,449.75,,,57045,25805024.5,2432,F1,1,,,,,,MEIL,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,2106,INE347A01017,MANGLMCEM,EQ,,,,,MANGALAM CEMENT LTD,765.25,774.5,752.65,760.2,757.9,759.2,,760.15,,,37563,28610105.0,1773,F1,1,,,,,,MANGLMCEM,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,11817,INE584F01014,MANGALAM,EQ,,,,,MANGALAM DRUG & CHEM LTD,66.1,66.19,63.05,63.81,63.11,65.86,,63.81,,,17878,1150923.8,364,F1,1,,,,,,MANGALAM,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,1593,INE0APB01032,MGEL,EQ,,,,,MANGALAM GLOBAL ENT LTD,14.43,14.6,14.05,14.38,14.12,14.42,,14.38,,,324674,4631297.77,1336,F1,1,,,,,,MGEL,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,6422,INE370D01013,MANORG,EQ,,,,,MANGALAM ORGANICS LIMITED,510.5,513.9,494.65,496.25,496.0,513.5,,496.25,,,2901,1453245.7,365,F1,1,,,,,,MANORG,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,759169,INE0JYY01011,MWL,EQ,,,,,MANGALAM WORLDWIDE LTD,226.0,227.85,217.05,223.31,218.56,221.18,,223.31,,,43551,9682885.66,784,F1,1,,,,,,MWL,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,15380,INE634S01028,MANKIND,EQ,,,,,MANKIND PHARMA LIMITED,2375.0,2379.8,2305.3,2309.1,2310.0,2369.5,,2309.1,,,486278,1131523624.8,50166,F1,1,,,,,,MANKIND,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,19015,INE0KNT01012,MVGJL,EQ,,,,,MANOJ VAIBHAV GEM N JEW L,202.62,207.5,200.0,200.3,200.0,202.57,,200.3,,,108325,21963901.94,2865,F1,1,,,,,,MVGJL,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,13753,INE784W01015,MANOMAY,EQ,,,,,MANOMAY TEX INDIA LTD,209.23,217.0,206.16,216.32,216.2,211.63,,216.3,,,90686,19254586.0,1851,F1,1,,,,,,MANOMAY,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,10227,INE00VM01036,MANORAMA,EQ,,,,,MANORAMA INDUSTRIES LTD,1327.9,1335.0,1286.7,1304.5,1306.0,1324.5,,1304.45,,,158104,206332318.5,17069,F1,1,,,,,,MANORAMA,0,0,0,0
