TradDt,BizDt,Sgmt,Src,FinInstrmTp,SC_CODE,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,DELIV_PER,DELIV_QTY
2025-11-11,2025-11-11,CM,BSE,STK,532957,INE642I01014,GOKAKTEX,X,,,,,GOKAK TEXTILES LTD.,84.3,89.4,82.0,83.1,82.65,84.3,,83.1,,,789,66633.0,18,F1,1,,,,,,56.02,442
2025-11-11,2025-11-11,CM,BSE,STK,532966,INE615H01020,TITAGARH,A,,,,,TITAGARH RAIL SYSTEMS LIMITED,848.0,874.15,846.2,865.85,860.0,847.35,,864.2,,,55788,47971996.0,1203,F1,1,,,,,,55.66,31052
2025-11-11,2025-11-11,CM,BSE,STK,532967,INE415I01015,KIRIINDUS,B,,,,,KIRI INDUSTRIES LTD.,530.15,534.2,526.4,527.7,528.25,530.9,,526.9,,,3516,1860041.0,145,F1,1,,,,,,53.53,1882
2025-11-11,2025-11-11,CM,BSE,STK,532974,INE865C01022,BIRLAMONEY,B,,,,,ADITYA BIRLA MONEY LTD.,156.5,158.15,156.15,156.95,158.15,157.35,,157.1,,,1696,265961.0,44,F1,1,,,,,,65.27,1107
2025-11-11,2025-11-11,CM,BSE,STK,532975,INE778I01024,TELOGICA,X,,,,,TELOGICA LIMITED,14.0,14.0,13.52,13.88,13.99,13.95,,13.88,,,3121,43449.0,34,F1,1,,,,,,95.03,2966
2025-11-11,2025-11-11,CM,BSE,STK,532976,INE091G01026,JAIBALAJI,A,,,,,JAI BALAJI INDUSTRIES LTD.,87.01,89.54,86.42,88.99,88.78,87.55,,88.79,,,17807,1558482.0,357,F1,1,,,,,,38.0,6766
2025-11-11,2025-11-11,CM,BSE,STK,532977,INE917I01010,BAJAJ-AUTO,A,,,,,BAJAJ AUTO LTD.,8832.9,8945.0,8725.0,8901.55,8901.55,8770.8,,8895.1,,,8611,76295638.0,1823,F1,1,,,,,,58.46,5034
2025-11-11,2025-11-11,CM,BSE,STK,532978,INE918I01026,BAJAJFINSV,A,,,,,BAJAJ FINSERV LTD.,2091.7,2093.05,1953.3,1987.75,1987.75,2120.45,,1989.35,,,187053,371940920.0,15222,F1,1,,,,,,38.07,71215
2025-11-11,2025-11-11,CM,BSE,STK,532980,INE020J01029,GOKUL,B,,,,,GOKUL REFOILS & SOLVENT LTD.,40.15,40.89,39.21,40.35,40.6,40.59,,40.26,,,3836,153636.0,338,F1,1,,,,,,62.43,2395
2025-11-11,2025-11-11,CM,BSE,STK,532983,INE105J01010,RPGLIFE,B,,,,,RPG LIFE SCIENCES LTD.,2352.3,2395.45,2339.3,2355.9,2355.6,2350.25,,2364.3,,,470,1113512.0,118,F1,1,,,,,,77.02,362
2025-11-11,2025-11-11,CM,BSE,STK,532985,INF174KA1JD7,SENSEX1,A,,,,,KOTAK MAHINDRA MUTUAL FUND,90.21,91.64,90.1,91.13,91.64,91.2,,91.13,,,2787,253569.0,71,F1,1,,,,,,65.09,1814
2025-11-11,2025-11-11,CM,BSE,STK,532986,INE368I01016,NIRAJ,B,,,,,NIRAJ CEMENT STRUCTURALS LTD.,32.79,33.46,30.91,32.04,32.21,31.2,,32.07,,,19284,628156.0,286,F1,1,,,,,,72.95,14067
2025-11-11,2025-11-11,CM,BSE,STK,532989,INE878I01022,BAFNAPH,T,,,,,BAFNA PHARMACEUTICALS LTD.,197.0,201.95,193.0,196.25,196.25,192.35,,193.6,,,11534,2278623.0,175,F1,1,,,,,,100.0,11534
2025-11-11,2025-11-11,CM,BSE,STK,532992,INE790D01020,CHLLTD,X,,,,,CHL LTD.,34.45,35.65,32.0,35.65,35.65,34.48,,35.65,,,1603,53955.0,21,F1,1,,,,,,87.46,1402
2025-11-11,2025-11-11,CM,BSE,STK,532993,INE955I01044,SEJALLTD,T,,,,,SEJAL GLASS LIMITED,807.95,828.7,793.95,826.0,826.0,807.95,,825.15,,,551,446869.0,19,F1,1,,,,,,100.0,551
2025-11-11,2025-11-11,CM,BSE,STK,532994,INE877I01016,ARCHIDPLY,B,,,,,ARCHIDPLY INDUSTRIES LTD.,96.0,96.0,96.0,96.0,96.0,95.92,,96.34,,,10,960.0,1,F1,1,,,,,,100.0,10
2025-11-11,2025-11-11,CM,BSE,STK,532998,INE947I01017,LOTUSEYE,T,,,,,Lotus Eye Hospital And Institu,117.1,118.45,116.0,117.95,117.95,118.0,,117.6,,,606,70700.0,18,F1,1,,,,,,100.0,606
2025-11-11,2025-11-11,CM,BSE,STK,533001,INE323J01019,SOMICONVEY,B,,,,,SOMI CONVEYOR BELTINGS LTD.,150.2,153.0,148.05,151.95,153.0,150.15,,151.4,,,495,75015.0,31,F1,1,,,,,,79.19,392
2025-11-11,2025-11-11,CM,BSE,STK,533007,INE201J01017,LGBFORGE,X,,,,,LGB FORGE LTD.,9.76,10.47,9.75,10.22,10.1,9.93,,10.22,,,136367,1380615.0,234,F1,1,,,,,,83.89,114405
2025-11-11,2025-11-11,CM,BSE,STK,533012,INE197J01017,LPDC,B,,,,,LANDMARK PROPERTY DEVELOPMENT,7.99,7.99,7.47,7.67,7.67,7.67,,7.52,,,9447,70828.0,143,F1,1,,,,,,99.99,9446
2025-11-11,2025-11-11,CM,BSE,STK,533014,INE176J01011,SICAGEN,X,,,,,SICAGEN INDIA LTD.,61.51,62.0,60.05,60.6,61.49,61.03,,60.6,,,7703,465834.0,79,F1,1,,,,,,87.85,6767
2025-11-11,2025-11-11,CM,BSE,STK,533019,INE456H01029,SIMPLXPAP,X,,,,,SIMPLEX PAPERS LTD.,1668.0,1668.0,1668.0,1668.0,1668.0,1590.2,,1668.0,,,1,1668.0,1,F1,1,,,,,,100.0,1
2025-11-11,2025-11-11,CM,BSE,STK,533022,INE144J01027,20MICRONS,B,,,,,20 MICRONS LTD.,203.45,205.75,196.3,197.85,198.25,203.8,,197.7,,,5873,1181045.0,223,F1,1,,,,,,88.59,5203
2025-11-11,2025-11-11,CM,BSE,STK,533023,INE342J01019,ZFCVINDIA,A,,,,,ZF Commercial Vehicle Control,12640.9,12640.9,12545.0,12614.65,12630.0,12674.35,,12599.25,,,115,1448571.0,72,F1,1,,,,,,58.26,67
2025-11-11,2025-11-11,CM,BSE,STK,533029,INE773I01017,ALKALI,B,,,,,ALKALI METALS LTD.,86.65,87.47,86.65,87.47,87.47,86.67,,87.17,,,101,8754.0,5,F1,1,,,,,,50.5,51
2025-11-11,2025-11-11,CM,BSE,STK,533033,INE858B01029,ISGEC,B,,,,,ISGEC HEAVY ENGINEERING LTD.,853.4,855.3,839.7,842.75,844.1,854.65,,842.6,,,3450,2921427.0,203,F1,1,,,,,,76.0,2622
2025-11-11,2025-11-11,CM,BSE,STK,533047,INE919H01018,IMFA,B,,,,,INDIAN METALS & FERRO ALLOYS L,1322.5,1382.0,1296.15,1344.75,1338.65,1320.8,,1346.4,,,27348,36612219.0,2377,F1,1,,,,,,34.13,9335
2025-11-11,2025-11-11,CM,BSE,STK,533048,INE065J01024,TPHQ,B,,,,,Teamo Productions HQ Limited,0.64,0.64,0.6,0.62,0.63,0.64,,0.62,,,484881,299013.0,165,F1,1,,,,,,53.43,259092
2025-11-11,2025-11-11,CM,BSE,STK,533056,INE359B01010,VEDAVAAG,X,,,,,VEDAVAAG SYSTEMS LTD.,33.0,33.58,32.52,32.74,32.94,33.22,,32.74,,,19523,643085.0,162,F1,1,,,,,,83.38,16278
2025-11-11,2025-11-11,CM,BSE,STK,533080,INE893J01029,MOLDTKPAC,B,,,,,MOLD-TEK PACKAGING LIMITED,692.85,692.9,659.4,670.05,675.0,684.95,,666.75,,,2576,1729429.0,413,F1,1,,,,,,69.76,1797
2025-11-11,2025-11-11,CM,BSE,STK,533088,INE998I01010,MHRIL,A,,,,,MAHINDRA HOLIDAYS & RESORTS IN,318.0,318.6,311.0,313.75,314.0,317.2,,313.8,,,5715,1792800.0,627,F1,1,,,,,,69.69,3983
2025-11-11,2025-11-11,CM,BSE,STK,533090,INE688J01023,EXCEL,T,,,,,EXCEL REALTY N INFRA LTD.,1.64,1.65,1.55,1.59,1.6,1.58,,1.58,,,358456,571753.0,289,F1,1,,,,,,100.0,358456
2025-11-11,2025-11-11,CM,BSE,STK,533093,INE294G01026,ROML,B,,,,,RAJ OIL MILLS LTD.,50.88,51.2,50.8,50.8,50.8,51.5,,50.77,,,5641,287571.0,84,F1,1,,,,,,70.77,3992
2025-11-11,2025-11-11,CM,BSE,STK,533095,INE083K01017,BENGALASM,B,,,,,BENGAL & ASSAM COMPANY LTD.,7400.0,7490.0,7249.95,7399.0,7376.0,7435.0,,7399.0,,,672,4970120.0,424,F1,1,,,,,,31.4,211
2025-11-11,2025-11-11,CM,BSE,STK,533096,INE814H01029,ADANIPOWER,A,,,,,ADANI POWER LTD.,150.8,151.9,146.75,151.15,151.15,150.05,,151.15,,,2056869,307631763.0,12150,F1,1,,,,,,38.99,801934
2025-11-11,2025-11-11,CM,BSE,STK,533098,INE848E01016,NHPC,A,,,,,NHPC LTD.,82.25,82.62,80.88,81.94,81.94,82.33,,81.89,,,462169,37715960.0,4837,F1,1,,,,,,50.39,232880
2025-11-11,2025-11-11,CM,BSE,STK,533100,INE429K01012,PEIL,XT,,,,,PREMIER ENERGY AND INFRASTRUCT,15.82,15.82,14.8,15.31,15.78,15.21,,15.31,,,32273,504975.0,74,F1,1,,,,,,100.0,32273
2025-11-11,2025-11-11,CM,BSE,STK,533101,INE360J01011,SURYAAMBA,X,,,,,SURYAAMBA SPINNING MILLS LTD.,129.65,147.85,126.2,130.0,130.0,129.0,,130.0,,,366,49245.0,10,F1,1,,,,,,66.94,245
2025-11-11,2025-11-11,CM,BSE,STK,533104,INE615I01010,GLOBUSSPR,A,,,,,GLOBUS SPIRITS LTD.,1150.0,1150.0,1087.05,1095.9,1098.5,1143.95,,1097.6,,,3696,4086453.0,508,F1,1,,,,,,54.68,2021
2025-11-11,2025-11-11,CM,BSE,STK,533106,INE274J01014,OIL,A,,,,,OIL INDIA LTD.,431.5,437.5,430.4,436.1,435.75,431.5,,435.95,,,32125,13927472.0,965,F1,1,,,,,,47.51,15264
2025-11-11,2025-11-11,CM,BSE,STK,533107,INE542F01020,SWANDEF,T,,,,,SWAN DEFENCE AND HEAVY INDUSTR,1036.45,1036.45,1036.45,1036.45,1036.45,987.1,,1000.0,,,11128,11533615.0,132,F1,1,,,,,,100.0,11128
2025-11-11,2025-11-11,CM,BSE,STK,533108,INE274K01012,BTTL,X,,,,,BHILWARA TECHNICAL TEXTILES LT,39.2,40.95,39.0,40.5,40.0,39.16,,40.5,,,4008,158236.0,35,F1,1,,,,,,83.31,3339
2025-11-11,2025-11-11,CM,BSE,STK,533121,INE201K01015,EXPLEOSOL,B,,,,,EXPLEO SOLUTIONS LIMITED,977.5,980.45,971.5,979.85,980.05,976.1,,976.55,,,150,145950.0,39,F1,1,,,,,,94.67,142
2025-11-11,2025-11-11,CM,BSE,STK,533122,INE399K01017,RTNPOWER,A,,,,,RATTANINDIA POWER LTD.,10.38,10.42,10.21,10.35,10.35,10.37,,10.34,,,1431919,14734282.0,15804,F1,1,,,,,,52.49,751638
2025-11-11,2025-11-11,CM,BSE,STK,533137,INE947J01015,DEN,B,,,,,DEN NETWORKS LTD,32.96,32.96,31.91,32.11,32.19,32.31,,32.1,,,19694,632433.0,128,F1,1,,,,,,69.24,13637
2025-11-11,2025-11-11,CM,BSE,STK,533138,INE563J01010,ASTEC,B,,,,,ASTEC LIFESCIENCES LIMITED,618.0,632.85,608.0,615.8,618.25,618.15,,618.55,,,3136,1942549.0,246,F1,1,,,,,,65.69,2060
2025-11-11,2025-11-11,CM,BSE,STK,533146,INE250K01012,DLINKINDIA,B,,,,,D-LINK (INDIA) LTD,444.7,454.35,440.75,453.75,453.0,444.65,,453.45,,,4209,1875003.0,179,F1,1,,,,,,77.52,3263
2025-11-11,2025-11-11,CM,BSE,STK,533148,INE121E01018,JSWENERGY,A,,,,,JSW ENERGY LTD,524.9,529.45,518.45,527.05,527.6,522.35,,526.85,,,44106,23081727.0,1148,F1,1,,,,,,41.33,18229
2025-11-11,2025-11-11,CM,BSE,STK,533149,INE143K01019,YUNIKM,X,,,,,Yunik Managing Advisors Limite,9.95,10.43,9.77,10.0,10.0,10.07,,10.0,,,9309,94619.0,23,F1,1,,,,,,98.88,9205
2025-11-11,2025-11-11,CM,BSE,STK,533150,INE484J01027,GODREJPROP,A,,,,,GODREJ PROPERTIES LTD,2171.5,2171.5,2137.0,2159.2,2158.75,2168.0,,2158.5,,,10004,21566668.0,1214,F1,1,,,,,,31.22,3123
2025-11-11,2025-11-11,CM,BSE,STK,533151,INE950I01011,DBCORP,B,,,,,D B CORP LTD,258.65,262.45,256.95,261.8,261.1,259.0,,261.35,,,1447,376539.0,139,F1,1,,,,,,75.74,1096
2025-11-11,2025-11-11,CM,BSE,STK,533152,INE912H01013,MBLINFRA,B,,,,,MBL Infrastructure Ltd,39.03,39.4,38.36,38.36,38.36,39.46,,38.33,,,2455,96056.0,88,F1,1,,,,,,94.99,2332
2025-11-11,2025-11-11,CM,BSE,STK,533155,INE797F01020,JUBLFOOD,A,,,,,JUBILANT FOODWORKS LTD,587.85,590.7,575.6,579.4,580.65,584.4,,580.05,,,92353,53549654.0,3340,F1,1,,,,,,56.82,52471
2025-11-11,2025-11-11,CM,BSE,STK,533156,INE893I01013,VASCONEQ,B,,,,,VASCON ENGINEERS LTD,59.34,61.1,58.66,59.0,58.75,59.27,,58.87,,,234116,13946337.0,928,F1,1,,,,,,29.39,68807
2025-11-11,2025-11-11,CM,BSE,STK,533158,INE085J01014,THANGAMAYL,A,,,,,THANGAMAYIL JEWELLERY LTD,3100.1,3300.0,3100.1,3251.4,3246.2,3161.0,,3244.2,,,27824,89747885.0,4268,F1,1,,,,,,47.56,13233
2025-11-11,2025-11-11,CM,BSE,STK,533160,INE879I01012,DBREALTY,A,,,,,VALOR ESTATE LIMITED,143.55,143.55,140.95,142.55,142.55,142.75,,142.55,,,121245,17266975.0,935,F1,1,,,,,,73.55,89174
2025-11-11,2025-11-11,CM,BSE,STK,533161,INE753K01015,EMMBI,B,,,,,EMMBI INDUSTRIES LTD,103.6,105.65,102.75,105.65,105.65,104.65,,105.5,,,940,97162.0,29,F1,1,,,,,,99.89,939
2025-11-11,2025-11-11,CM,BSE,STK,533162,INE982F01036,HATHWAY,B,,,,,HATHWAY CABLE & DATACOM LTD,13.23,13.28,13.15,13.24,13.24,13.26,,13.22,,,51942,685571.0,251,F1,1,,,,,,77.51,40261
2025-11-11,2025-11-11,CM,BSE,STK,533164,INE141K01013,TEXMOPIPES,B,,,,,TEXMO PIPES & PRODUCTS LTD.,54.5,54.5,53.8,54.01,54.01,54.12,,53.8,,,2491,134547.0,49,F1,1,,,,,,58.37,1454
2025-11-11,2025-11-11,CM,BSE,STK,533166,INE108E01023,SUNDARAM,B,,,,,SUNDARAM MULTI PAP LTD.,1.89,1.89,1.88,1.89,1.89,1.87,,1.89,,,28955,54695.0,53,F1,1,,,,,,74.0,21428
2025-11-11,2025-11-11,CM,BSE,STK,533168,INE847C01020,ROSSELLIND,B,,,,,ROSSELL INDIA LTD.,60.0,69.0,59.57,62.04,62.04,60.07,,61.79,,,19133,1237033.0,596,F1,1,,,,,,62.62,11981
2025-11-11,2025-11-11,CM,BSE,STK,533169,INE949H01023,MANINFRA,A,,,,,MAN INFRACONSTRUCTION LTD.,133.85,134.65,131.1,133.6,133.6,135.6,,133.7,,,39612,5255413.0,1269,F1,1,,,,,,49.94,19782
2025-11-11,2025-11-11,CM,BSE,STK,533170,INE864J01012,TAMBOLIIN,X,,,,,TAMBOLI INDUSTRIES LIMITED,153.95,153.95,147.05,148.65,152.3,149.4,,148.65,,,63,9409.0,6,F1,1,,,,,,82.54,52
2025-11-11,2025-11-11,CM,BSE,STK,533172,INF205K01361,IVZINGOLD,E,,,,,INVESCO India Gold Exchange Tr,10850.0,10850.0,10816.99,10816.99,10816.99,10651.03,,10814.45,,,54,584199.0,13,F1,1,,,,,,94.44,51
2025-11-11,2025-11-11,CM,BSE,STK,533177,INE975G01012,IL&FSTRANS,Z,,,,,IL&FS TRANSPORTATION NETWORKS,2.95,2.95,2.84,2.89,2.87,2.92,,2.84,,,22851,65460.0,21,F1,1,,,,,,100.0,22851
2025-11-11,2025-11-11,CM,BSE,STK,533179,INE262H01021,PERSISTENT,A,,,,,PERSISTENT SYSTEMS LTD.,5866.1,6037.25,5866.1,6031.0,6031.0,5865.95,,6031.0,,,46309,277225997.0,6028,F1,1,,,,,,52.04,24098
2025-11-11,2025-11-11,CM,BSE,STK,533181,INE566K01011,ISFT,B,,,,,INTRASOFT TECHNOLOGIES LTD.,96.82,96.82,93.5,93.51,93.51,94.95,,93.47,,,1041,98010.0,228,F1,1,,,,,,72.72,757
2025-11-11,2025-11-11,CM,BSE,STK,533192,INE790B01024,KCPSUGIND,B,,,,,KCP SUGAR & INDUSTRIES CORPORA,29.2,29.43,28.82,29.0,28.82,29.53,,28.97,,,8360,243857.0,179,F1,1,,,,,,79.23,6624
