TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-11-07,2025-11-07,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5114.65,5131.85,4964.0,5013.8,5013.8,5223.15,,5016.45,,,25010,125514912.0,7754,F1,1,,,,,
2025-11-07,2025-11-07,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,766.7,786.1,755.5,760.2,760.2,766.1,,761.3,,,53719,41400007.0,2604,F1,1,,,,,
2025-11-07,2025-11-07,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,987.6,995.45,970.1,980.05,979.0,987.45,,980.1,,,23617,23116540.0,1924,F1,1,,,,,
2025-11-07,2025-11-07,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,31.35,32.75,31.35,32.34,32.34,31.9,,32.34,,,43720,1397420.0,258,F1,1,,,,,
2025-11-07,2025-11-07,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,52.4,52.51,51.06,52.25,52.35,52.93,,52.25,,,55167,2860037.0,413,F1,1,,,,,
2025-11-07,2025-11-07,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,4.2,4.2,4.12,4.12,4.12,4.17,,4.11,,,5903,24756.0,24,F1,1,,,,,
2025-11-07,2025-11-07,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,5.53,5.68,5.31,5.56,5.52,5.53,,5.56,,,21277,116719.0,70,F1,1,,,,,
2025-11-07,2025-11-07,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,8.95,8.95,8.51,8.91,8.93,8.69,,8.91,,,2104,18468.0,24,F1,1,,,,,
2025-11-07,2025-11-07,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,153.0,157.75,152.65,156.25,157.0,160.25,,156.4,,,58457,9087578.0,933,F1,1,,,,,
2025-11-07,2025-11-07,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,319.1,327.9,316.95,327.9,327.9,322.7,,325.35,,,78,25297.0,22,F1,1,,,,,
2025-11-07,2025-11-07,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,5765.55,5798.55,5680.0,5686.55,5680.0,5757.8,,5690.85,,,760,4340213.0,268,F1,1,,,,,
2025-11-07,2025-11-07,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,30.7,31.37,30.4,30.47,30.47,30.08,,30.47,,,12281,374182.0,102,F1,1,,,,,
2025-11-07,2025-11-07,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,506.45,506.45,495.3,498.55,498.55,504.1,,498.25,,,11902,5942921.0,1028,F1,1,,,,,
2025-11-07,2025-11-07,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,21.1,21.25,20.85,21.13,21.13,21.29,,21.13,,,212319,4475089.0,759,F1,1,,,,,
2025-11-07,2025-11-07,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,17823.3,18483.95,17622.05,18194.55,18194.55,17898.55,,18194.05,,,10514,189563880.0,3283,F1,1,,,,,
