TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-12-09,2025-12-09,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5199.05,5199.05,4982.8,5120.4,5123.95,5056.3,,5117.05,,,3113,15745642.0,770,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,730.55,755.65,722.05,752.5,752.5,730.7,,752.65,,,21449,15918728.0,1498,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,925.05,943.15,911.1,938.0,938.55,928.45,,938.0,,,48149,44579315.0,4956,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,26.84,27.29,26.22,26.98,27.0,26.39,,26.98,,,58387,1570829.0,230,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,49.39,49.39,48.01,48.83,48.75,48.41,,48.83,,,38987,1895277.0,355,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,3.37,3.4,3.35,3.39,3.39,3.41,,3.39,,,405,1370.0,9,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,4.92,4.99,4.63,4.89,4.89,4.82,,4.89,,,6248,30268.0,58,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,8.79,9.0,8.0,8.87,8.51,8.7,,8.87,,,38645,339137.0,120,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,128.0,132.9,125.0,131.2,131.2,128.35,,131.25,,,66384,8643341.0,831,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,325.25,328.95,322.6,328.95,328.95,326.0,,327.65,,,1206,394451.0,55,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,5748.85,5880.25,5612.0,5869.7,5865.0,5729.95,,5862.55,,,957,5531503.0,306,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,37.9,38.0,33.1,36.04,36.0,36.62,,36.04,,,47851,1724078.0,263,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,475.05,477.0,458.0,472.6,477.0,478.35,,472.45,,,19281,9040932.0,764,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,18.72,19.11,18.21,19.02,19.06,18.75,,19.0,,,268476,5021061.0,815,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,17102.05,17621.9,16916.0,17120.0,17144.0,17195.0,,17112.4,,,2991,51549730.0,1020,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500034,INE296A01032,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,1022.1,1025.15,1014.0,1016.5,1016.3,1026.25,,1016.7,,,97342,99225118.0,4877,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,429.95,430.0,408.65,416.15,417.0,429.0,,416.3,,,234250,97569658.0,10786,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,A,,,,,BANCO PRODUCTS (INDIA) LTD.,706.15,734.5,693.25,728.0,728.0,706.2,,728.45,,,48485,34502586.0,2354,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500040,INE055A01016,ABREL,A,,,,,ADITYA BIRLA REAL ESTATE LIMIT,1657.0,1659.05,1610.05,1630.3,1629.8,1657.4,,1632.0,,,40114,65425893.0,5531,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500041,INE459A01010,BANARISUG,B,,,,,BANNARI AMMAN SUGARS LTD.,3695.45,3695.45,3561.85,3561.85,3561.85,3698.95,,3601.4,,,4,14514.0,3,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,3985.65,4076.85,3981.95,4023.15,4033.1,4024.35,,4021.4,,,960,3856281.0,295,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,959.35,996.0,942.5,983.6,983.6,949.55,,984.15,,,14133,13690894.0,1235,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500048,INE258A01024,BEML,A,,,,,BEML LTD.,1642.8,1690.0,1600.1,1684.45,1684.45,1642.05,,1683.65,,,29699,48917558.0,3453,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECTRONICS LTD.,386.05,391.0,380.6,389.65,389.65,386.5,,389.45,,,1338925,516969737.0,29311,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500052,INE922A01025,BEPL,B,,,,,BHANSALI ENGINEERING POLYMERS,89.12,89.88,88.14,88.23,88.2,89.7,,88.23,,,20848,1853678.0,465,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500058,INE819C01011,BIHSPONG,X,,,,,BIHAR SPONGE IRON LTD.,10.9,11.31,10.11,11.12,11.0,10.9,,11.12,,,21705,233013.0,142,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500059,INE071A01013,BILVYAPAR,T,,,,,BIL VYAPAR LIMITED,7.0,7.0,6.86,6.86,6.86,7.22,,6.92,,,6482,44681.0,21,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500060,INE800A01015,BIRLACABLE,B,,,,,Birla Cable Limited,133.0,134.85,129.9,134.4,134.35,132.35,,134.3,,,3173,422513.0,91,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500067,INE472A01039,BLUESTARCO,A,,,,,BLUE STAR LTD.,1721.2,1751.4,1705.5,1740.0,1741.2,1720.8,,1738.6,,,4155,7164262.0,708,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500068,INE131C01011,DISAQ,B,,,,,DISA INDIA LTD.,12598.95,12598.95,12101.0,12382.35,12499.0,12690.0,,12382.35,,,141,1746241.0,41,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500069,INE418C01012,QUESTCAP,X,,,,,QUEST CAPITAL MARKETS LIMITED,304.0,305.0,301.0,305.0,305.0,301.1,,305.0,,,235,71504.0,9,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500074,INE110A01019,BPL,B,,,,,BPL LTD.,53.9,58.73,51.05,56.09,56.09,51.08,,55.8,,,46804,2632746.0,1275,F1,1,,,,,
2025-12-09,2025-12-09,CM,BSE,STK,500078,INE959C01023,OAL,B,,,,,ORIENTAL AROMATICS LIMITED,280.3,287.95,274.75,278.3,279.35,285.3,,278.1,,,1186,331337.0,203,F1,1,,,,,
