DATE,SYMBOL,DELIV_QTY,DELIV_PER
20260708,500002,3833,38.48
20260708,500003,62113,34.65
20260708,500008,20543,40.19
20260708,500009,25599,87.6
20260708,500012,126468,49.83
20260708,500014,10256,82.46
20260708,500016,4053,59.89
20260708,500020,43967,55.25
20260708,500023,752,63.14
20260708,500027,922,70.71
20260708,500028,7399,61.1
20260708,500031,4032,65.0
20260708,500032,110372,53.88
20260708,500033,3056,46.05
20260708,500034,634619,80.81
20260708,500038,15630,57.71
20260708,500039,5805,48.81
20260708,500040,8572,53.9
20260708,500042,41867,97.25
20260708,500043,7584,54.8
20260708,500048,7082,43.64
20260708,500049,279731,42.65
20260708,500051,27498,100.0
20260708,500052,11456,62.76
20260708,500058,9210,85.4
20260708,500059,24615,100.0
20260708,500060,6502,100.0
20260708,500067,2366,40.46
20260708,500069,1417,77.43
20260708,500074,4749,69.22
20260708,500078,3051,31.4
20260708,500083,5780,87.46
20260708,500084,66813,54.34
20260708,500085,36234,53.96
20260708,500086,143147,40.28
20260708,500087,71742,55.28
20260708,500089,762,90.71
20260708,500092,3029,71.64
20260708,500093,91974,40.88
20260708,500096,26216,47.53
20260708,500097,5547,64.82
20260708,500101,19909,45.93
20260708,500103,133701,24.69
20260708,500104,416977,53.97
20260708,500106,1305498,42.79
20260708,500108,49384,43.67
20260708,500109,266792,44.68
20260708,500110,43785,42.77
20260708,500112,202637,41.56
20260708,500113,120599,30.23
20260708,500114,35374,61.31
20260708,500116,432708,42.68
20260708,500117,28220,54.75
20260708,500119,7292,59.79
20260708,500120,327,66.06
20260708,500123,64,65.31
20260708,500124,75094,58.66
20260708,500125,212684,80.35
20260708,500126,441,45.75
20260708,500128,55249,55.13
20260708,500133,313,63.1
20260708,500135,49460,57.98
20260708,500136,2992,74.34
20260708,500142,1689,75.5
20260708,500143,2471,100.0
20260708,500144,8573,46.21
20260708,500147,619,57.96
20260708,500148,428,86.29
20260708,500150,75,44.64
20260708,500151,869,100.0
20260708,500153,5213,69.4
20260708,500159,3633,61.29
20260708,500160,74058,88.53
20260708,500163,6365,55.48
20260708,500164,3074,57.06
20260708,500165,15082,54.42
20260708,500166,7953,68.02
20260708,500168,1189,95.43
20260708,500170,3047,83.85
20260708,500171,4458,63.19
20260708,500173,6234,90.1
20260708,500174,200,100.0
20260708,500179,62493,83.96
20260708,500180,481099,49.41
20260708,500182,13090,53.18
20260708,500183,439356,48.74
20260708,500184,77658,39.66
20260708,500185,1032495,55.34
20260708,500186,27066,56.28
20260708,500187,7513,61.35
20260708,500188,52964,27.31
20260708,500189,743,87.1
20260708,500191,6684,100.0
20260708,500192,2256,99.56
20260708,500193,55177,86.79
20260708,500199,692,74.41
20260708,500201,2217,43.91
20260708,500202,350,100.0
20260708,500206,659,99.7
