DATE,SYMBOL,DELIV_QTY,DELIV_PER
20260123,500002,2302,45.76
20260123,500003,10168,62.22
20260123,500008,43917,62.36
20260123,500009,21432,82.32
20260123,500012,21859,71.63
20260123,500013,2248,100.0
20260123,500014,3680,86.26
20260123,500016,20000,69.9
20260123,500020,14838,54.39
20260123,500023,109,6.29
20260123,500027,561,36.86
20260123,500028,20478,83.84
20260123,500031,3905,53.11
20260123,500032,132961,63.76
20260123,500033,3128,51.69
20260123,500034,161009,66.77
20260123,500038,4561,39.23
20260123,500039,14153,50.19
20260123,500040,4344,48.8
20260123,500041,96,92.31
20260123,500042,159125,99.52
20260123,500043,11150,62.9
20260123,500048,4482,46.66
20260123,500049,530802,55.77
20260123,500052,5681,66.16
20260123,500058,17214,97.96
20260123,500059,200,100.0
20260123,500060,1191,98.84
20260123,500067,3258,29.21
20260123,500068,34,85.0
20260123,500069,552,54.49
20260123,500074,2677,84.1
20260123,500078,467,65.13
20260123,500083,11692,82.32
20260123,500084,89287,59.79
20260123,500085,65408,43.67
20260123,500086,43953,44.63
20260123,500087,393615,73.96
20260123,500089,50,100.0
20260123,500092,465,47.35
20260123,500093,34251,32.24
20260123,500096,14350,49.52
20260123,500097,572,47.04
20260123,500101,3523,44.41
20260123,500103,210823,36.34
20260123,500104,79865,44.08
20260123,500106,607767,45.68
20260123,500108,65472,55.6
20260123,500109,252742,41.64
20260123,500110,26625,44.92
20260123,500112,344739,76.07
20260123,500113,384611,36.82
20260123,500114,32153,77.7
20260123,500116,186032,51.81
20260123,500117,30586,39.86
20260123,500119,6213,91.26
20260123,500120,575,84.56
20260123,500123,130,83.33
20260123,500124,598405,82.09
20260123,500125,3131,38.96
20260123,500126,427,70.93
20260123,500128,32838,59.96
20260123,500133,147,88.55
20260123,500135,9929,58.96
20260123,500136,1682,84.82
20260123,500142,7413,95.27
20260123,500143,7448,100.0
20260123,500144,2689,38.19
20260123,500147,1496,64.12
20260123,500148,750,94.7
20260123,500151,960,100.0
20260123,500153,1811,90.41
20260123,500159,413,99.04
20260123,500160,11792,82.99
20260123,500163,6471,55.98
20260123,500164,2014,64.82
20260123,500165,3339,45.52
20260123,500166,4037,84.78
20260123,500168,2240,74.77
20260123,500171,1321,60.6
20260123,500173,4698,87.63
20260123,500179,13297,63.61
20260123,500180,319167,53.33
20260123,500182,6034,33.95
20260123,500183,832237,62.8
20260123,500184,32989,54.59
20260123,500185,1171937,72.69
20260123,500186,3248,53.35
20260123,500187,1553,44.24
20260123,500188,842127,38.74
20260123,500189,423,100.0
20260123,500191,1914,100.0
20260123,500192,2731,54.61
20260123,500193,7751,85.57
20260123,500199,554,91.42
20260123,500201,6017,61.2
20260123,500202,410,100.0
20260123,500206,279,64.29
20260123,500207,1548,78.58
20260123,500209,364753,91.3
20260123,500210,588,59.82
20260123,500213,5553,96.01
20260123,500214,1626,43.9
20260123,500215,147,81.22
20260123,500219,24803,53.79
20260123,500220,216,58.38
20260123,500227,8705,52.21
20260123,500228,15217,36.49
20260123,500233,256096,95.96
20260123,500234,109,51.42
20260123,500235,1300,71.23
20260123,500238,15217,56.38
20260123,500239,4489,99.53
20260123,500240,8100,74.33
20260123,500241,1063,52.57
20260123,500243,244,90.37
20260123,500245,11496,59.96
20260123,500247,126370,68.08
20260123,500249,1900,46.8
20260123,500250,631,47.02
20260123,500251,16698,60.83
20260123,500252,13,50.0
20260123,500253,20352,61.13
20260123,500257,8819,58.26
20260123,500259,611,77.15
20260123,500260,1546,36.74
20260123,500262,723,100.0
20260123,500264,25028,62.35
20260123,500265,4450,54.68
20260123,500266,35,61.4
20260123,500267,2648,82.31
20260123,500268,2913,54.76
20260123,500270,380,94.29
20260123,500271,2072,60.83
20260123,500277,2113,98.92
20260123,500279,27035,67.66
20260123,500280,2004,77.92
20260123,500282,40,81.63
20260123,500284,284,91.03
20260123,500285,4225723,61.72
20260123,500288,48900,50.77
20260123,500290,223,61.1
20260123,500292,3901,81.14
20260123,500294,105600,51.26
20260123,500295,516965,50.15
20260123,500296,724,79.65
20260123,500298,1532,90.87
20260123,500300,26762,92.65
20260123,500304,11685,63.42
20260123,500306,17223,41.62
20260123,500307,5593,80.5
20260123,500312,112043,54.2
20260123,500313,32396,96.58
20260123,500314,4562,78.4
20260123,500317,1265,93.98
20260123,500319,3304,60.3
20260123,500322,383,74.51
20260123,500325,101815,49.93
20260123,500327,9883,96.62
20260123,500330,9500,53.83
20260123,500331,1676377,90.85
20260123,500333,424,83.79
20260123,500335,1854,52.4
20260123,500336,12153,59.89
20260123,500337,165,79.33
20260123,500338,4205,57.22
20260123,500339,22630,42.75
20260123,500342,10620,100.0
20260123,500343,4138,40.24
20260123,500346,1383,73.33
20260123,500350,1382,90.92
20260123,500354,515,86.7
20260123,500355,71142,26.4
20260123,500356,225,100.0
20260123,500357,190,100.0
20260123,500360,3281,100.0
20260123,500365,163671,68.91
20260123,500367,9674,85.44
20260123,500368,75962,55.67
20260123,500370,2275,99.78
20260123,500371,3100,100.0
20260123,500378,215536,40.63
20260123,500380,1843,38.3
20260123,500387,50,45.45
20260123,500388,12,100.0
20260123,500400,122092,60.59
20260123,500402,19651,80.46
20260123,500403,1292,62.33
20260123,500404,2580,66.65
20260123,500405,1275,51.47
20260123,500407,718,91.35
20260123,500408,5666,50.01
20260123,500410,7030,53.4
20260123,500411,1203,53.51
20260123,500412,6798,63.62
20260123,500413,10007,49.77
20260123,500414,169693,70.9
20260123,500420,11311,91.69
20260123,500421,3086,99.9
20260123,500422,2033,100.0
20260123,500425,56219,46.8
