DATE,SYMBOL,DELIV_QTY,DELIV_PER
20260721,524709,19098,40.03
20260721,524711,6542,90.0
20260721,524715,590189,95.8
20260721,524717,39861,100.0
20260721,524723,250,100.0
20260721,524727,346,100.0
20260721,524731,178,50.57
20260721,524735,12181,54.84
20260721,524742,1962,64.35
20260721,524743,67600,60.96
20260721,524748,22,91.67
20260721,524752,2588,100.0
20260721,524768,1425,92.53
20260721,524774,410,63.66
20260721,524790,1502,52.43
20260721,524804,137999,85.82
20260721,524808,1168,99.15
20260721,524816,6104,32.31
20260721,524818,2019,100.0
20260721,524820,11728,48.98
20260721,524824,114322,85.9
20260721,524828,8460,85.03
20260721,526001,280,100.0
20260721,526025,6911,93.91
20260721,526027,1365,78.77
20260721,526043,1441,100.0
20260721,526071,7387,100.0
20260721,526073,981,100.0
20260721,526075,120,100.0
20260721,526081,11859,88.11
20260721,526095,206,100.0
20260721,526113,311,100.0
20260721,526115,15051,100.0
20260721,526117,218,66.87
20260721,526125,358,100.0
20260721,526133,1826,72.95
20260721,526137,2133,56.93
20260721,526139,16744,73.08
20260721,526143,1803,97.3
20260721,526159,4119,82.22
20260721,526161,5,22.73
20260721,526169,3280,89.59
20260721,526173,31193,38.19
20260721,526179,2616,100.0
20260721,526187,16131,99.97
20260721,526193,783,89.59
20260721,526211,562,100.0
20260721,526217,2205,100.0
20260721,526225,177,100.0
20260721,526227,81941,55.49
20260721,526231,12,100.0
20260721,526237,2422,97.94
20260721,526241,10449,100.0
20260721,526247,17070,71.59
20260721,526251,102,100.0
20260721,526263,653,98.94
20260721,526269,396,100.0
20260721,526299,6407,58.28
20260721,526315,678,97.55
20260721,526325,30,100.0
20260721,526335,2633,71.69
20260721,526345,1333,98.96
20260721,526355,301,100.0
20260721,526365,3853,64.92
20260721,526367,788,73.58
20260721,526371,226312,49.01
20260721,526373,6,100.0
20260721,526381,15745,100.0
20260721,526397,90,100.0
20260721,526407,8570,76.74
20260721,526409,8945,83.2
20260721,526415,142040,100.0
20260721,526433,10276,55.58
20260721,526435,311,96.88
20260721,526441,10340,100.0
20260721,526443,3435,62.03
20260721,526445,16865,72.85
20260721,526468,943,59.09
20260721,526471,4614,82.07
20260721,526473,11503,71.54
20260721,526477,870,100.0
20260721,526479,73032,49.59
20260721,526481,939,87.43
20260721,526488,2544,100.0
20260721,526490,61572,70.43
20260721,526492,487,95.3
20260721,526494,1517,100.0
20260721,526500,10,100.0
20260721,526506,2961,100.0
20260721,526508,2370,98.5
20260721,526519,10562,64.09
20260721,526530,18251,100.0
20260721,526532,1795,99.5
20260721,526544,19369,100.0
20260721,526546,470,100.0
20260721,526550,2516,95.63
20260721,526570,6595,100.0
20260721,526574,133,72.28
20260721,526582,3973,68.78
20260721,526596,3665,69.73
20260721,526604,7812,100.0
20260721,526608,215,62.32
20260721,526612,69,68.32
20260721,526614,19582,96.4
20260721,526616,3385,88.08
20260721,526622,265956,53.23
20260721,526638,2493,69.93
20260721,526640,406,100.0
20260721,526642,6424,67.64
20260721,526650,127917,54.95
20260721,526654,3,100.0
20260721,526662,2021,67.1
20260721,526668,2946,74.94
20260721,526675,1447,78.86
20260721,526677,4459,98.78
20260721,526703,442,90.02
20260721,526705,220,75.09
20260721,526709,33425,80.87
20260721,526711,130,89.66
20260721,526717,7345,100.0
20260721,526721,74,82.22
20260721,526723,3324,91.37
20260721,526725,9,90.0
20260721,526727,1236,58.11
20260721,526729,26495,37.0
20260721,526731,814,67.66
20260721,526739,2053,75.56
20260721,526747,6869,68.82
20260721,526751,6,100.0
20260721,526755,4045,83.45
20260721,526761,802,72.25
