DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW,EVER_100_DELIV,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M,MOMENTUM_SCORE,FOOTPRINT_SCORE,STABILITY_SCORE,COMBINED_SCORE,HASMOMENTUMDATA,HASFOOTPRINTDATA,HASSTABILITYHISTORY20D
2026-07-24,PIDILITIND,INE318A01026,NSE,1570.9,66.57,2300546919.3,64746.52996388534,False,66.22,62.67545454545453,58.60530303030303,1395140392.86,923051441.5863636,833759530.2651515,50889.249258318654,33968.5331470786,33546.76430685259,1,1,1,3,True,True,True
2026-07-24,PIDILITIND,INE318A01026,NSE,1570.9,66.57,2300546919.3,64746.52996388534,False,66.22,62.67545454545453,58.60530303030303,1395140392.86,923051441.5863636,833759530.2651515,50889.249258318654,33968.5331470786,33546.76430685259,1,1,1,3,True,True,True
2026-07-24,PIDILITIND,INE318A01026,NSE,1570.9,66.57,2300546919.3,64746.52996388534,False,66.22,62.67545454545453,58.60530303030303,1395140392.86,923051441.5863636,833759530.2651515,50889.249258318654,33968.5331470786,33546.76430685259,1,1,1,3,True,True,True
2026-07-24,PIDILITIND,INE318A01026,NSE,1570.9,66.57,2300546919.3,64746.52996388534,False,66.22,62.67545454545453,58.60530303030303,1395140392.86,923051441.5863636,833759530.2651515,50889.249258318654,33968.5331470786,33546.76430685259,1,1,1,3,True,True,True
2026-07-30,ANANTRAJ,INE242C01024,NSE,609.6,61.51,1131858340.8,66201.9102433055,False,40.418,37.75681818181818,35.07621212121212,701104975.9,656999842.8931819,552949876.9333333,40497.213358262685,34565.110444482554,30589.727817570787,1,1,1,3,True,True,True
2026-07-30,SHANKARA,INE274V01019,NSE,139.31,71.38,42196023.83,47018.3996842936,False,71.142,64.77318181818181,52.08363636363637,19736085.156000003,16937183.94181818,12962891.715757577,26926.74666033052,16884.079784781767,10127.90937299291,1,1,1,3,True,True,True
2026-07-30,ANANTRAJ,INE242C01024,NSE,609.6,61.51,1131858340.8,66201.9102433055,False,40.418,37.75681818181818,35.07621212121212,701104975.9,656999842.8931819,552949876.9333333,40497.213358262685,34565.110444482554,30589.727817570787,1,1,1,3,True,True,True
2026-07-30,SHANKARA,INE274V01019,NSE,139.31,71.38,42196023.83,47018.3996842936,False,71.142,64.77318181818181,52.08363636363637,19736085.156000003,16937183.94181818,12962891.715757577,26926.74666033052,16884.079784781767,10127.90937299291,1,1,1,3,True,True,True
2026-07-31,EMIL,INE02YR01019,NSE,130.16,60.9,432944830.16,26384.55507963887,False,56.274,49.155,45.00818181818182,120802139.928,111619209.64681816,78134771.84136365,13572.535444262676,11503.770418084738,10954.976320911432,1,1,1,3,True,True,True
2026-07-31,HEROMOTOCO,INE158A01026,NSE,5386.0,57.44,2380525824.0,70136.5727591072,False,52.976,52.13954545454544,50.376969696969695,2115851873.24,1805755190.986364,1778735200.7045455,59714.14776901754,58245.74493810341,55299.50521504871,1,1,1,3,True,True,True
2026-07-31,ANANTRAJ,INE242C01024,NSE,624.5,55.83,1424190985.0,58553.27783086204,False,44.934000000000005,38.85,35.53242424242424,797318288.9300001,700894278.6113638,554368649.9515152,47181.47081778422,36537.83144296615,31223.67353159082,1,1,1,3,True,True,True
2026-07-31,AGRIBIO,INE679E01015,BSE,316.9,60.42,6258458.1,98302.58490566038,False,45.712,37.9,37.57787878787878,2669891.67,1587435.9613636362,1488798.4598484847,73831.04911918491,54246.098819078965,50482.71783463163,1,1,1,3,True,True,True
2026-07-31,EMIL,INE02YR01019,NSE,130.16,60.9,432944830.16,26384.55507963887,False,56.274,49.155,45.00818181818182,120802139.928,111619209.64681816,78134771.84136365,13572.535444262676,11503.770418084738,10954.976320911432,1,1,1,3,True,True,True
2026-07-31,HEROMOTOCO,INE158A01026,NSE,5386.0,57.44,2380525824.0,70136.5727591072,False,52.976,52.13954545454544,50.376969696969695,2115851873.24,1805755190.986364,1778735200.7045455,59714.14776901754,58245.74493810341,55299.50521504871,1,1,1,3,True,True,True
2026-07-31,ANANTRAJ,INE242C01024,NSE,624.5,55.83,1424190985.0,58553.27783086204,False,44.934000000000005,38.85,35.53242424242424,797318288.9300001,700894278.6113638,554368649.9515152,47181.47081778422,36537.83144296615,31223.67353159082,1,1,1,3,True,True,True
2026-07-31,AGRIBIO,INE679E01015,BSE,316.9,60.42,6258458.1,98302.58490566038,False,45.712,37.9,37.57787878787878,2669891.67,1587435.9613636362,1488798.4598484847,73831.04911918491,54246.098819078965,50482.71783463163,1,1,1,3,True,True,True
