date,symbol,mom_ratio,foot_ratio,stab_ratio,atw,delivery_turnover,MOMENTUM_SCORE,FOOTPRINT_SCORE,STABILITY_SCORE,SIS,Whale_Density,Implied_Trades,passes_conditions
2023-06-07,AARTIIND,1.2732258611233391,1.1219385611970414,1.0748346963927027,22481.365168798784,266857837.64999998,67.4163783160323,47.75086505190311,57.43944636678201,56.11889018115755,0.44125482389595466,11870.17939730653,True
2023-06-26,AAVAS,1.037228200167488,1.9018071009173438,1.3128292252935083,59226.615743493574,1720824160.8,48.1637567730283,92.29379891631547,94.34075857916918,81.97058404566481,0.42857910418290845,29054.912883301855,True
2023-01-09,ABBOTINDIA,1.043112941406384,1.2207152645202344,1.4550805218964251,149644.544431946,628286945.0999999,45.76783555018138,75.0906892382104,96.31197097944377,77.06781855344272,0.06977254363929439,4198.5289038433775,True
2023-01-10,ABBOTINDIA,1.442802589762787,1.487182926060764,1.1538734515684153,148138.9375364857,622450842.3,68.07738814993954,85.79201934703748,85.00604594921403,81.5421183720692,0.06883126162867749,4201.80441854927,True
2024-01-04,ABBOTINDIA,1.0103910019653466,1.7265415388075822,1.3054066003971008,94325.37909956506,430855944.0,56.11380145278451,89.46731234866829,91.2227602905569,82.31338466953659,0.04141940682356553,4567.762654260953,True
2023-08-31,ABCAPITAL,1.3536593050378736,2.152048789959569,1.299561784222218,80163.14041314041,903149410.6,77.97695262483995,94.55825864276568,88.4122919334187,87.97728632068157,4.36688258936991,11266.392583242097,True
2023-04-13,ABFRL,1.6592322333582892,2.7050636306481253,1.2951823141583234,34972.72107297113,516768692.0,90.46822742474916,98.55072463768117,87.56967670011149,91.32300036262875,1.6307832908133943,14776.33641722513,True
2024-02-14,ABFRL,1.4546049664267056,1.5211637947460055,1.0859775766007882,39592.82458026019,912405832.4,75.2157829839704,86.25154130702836,79.59309494451294,80.61872991425562,1.6377634302603925,23044.726969414012,True
2024-02-15,ABFRL,1.5006677839025855,1.596058462484706,1.0220691479254704,36176.911468812876,894037761.0,78.67737948084054,89.49320148331273,73.91841779975277,79.26867475746943,1.490560634208619,24712.937746792606,True
2023-05-11,ACC,1.0559758057762734,1.282742286161185,1.0090953849249824,47637.735039679705,678528020.45,42.0125071063104,63.72939169982945,47.35645252984651,50.555692625386946,0.27150212843628685,14243.498770141407,True
2024-05-13,ADANIENT,1.4946839030966366,1.9097991137543102,1.1015620053985045,92687.04173351965,6574031773.2,73.61354349095154,93.75364856976066,87.04028021015762,86.07290294526399,0.3086459208079587,70927.1938152984,True
2024-05-14,ADANIENT,1.2658575015667852,2.0797085694557698,1.2230746893795543,87089.03521909761,6934626410.85,59.25277291301809,97.8984238178634,93.28663164039696,86.4535169265468,0.29060271185655734,79626.85995319556,True
2024-04-08,ADANIPORTS,1.145291900596221,1.504882440898179,1.3832691796172383,148702.6499258899,10096618324.95,53.47432024169184,78.36858006042297,92.56797583081571,78.9275616827392,1.1340910422542025,67898.0390059083,True
2023-01-23,AHLUCONT,1.4099453494665324,1.3849024476455445,1.495915721748159,42864.79719579369,82171071.5,76.89486552567237,83.19070904645477,95.96577017114915,87.9590716630591,0.8528721189372523,1916.9826262017968,True
2024-10-09,AJANTPHARM,1.1458144414753209,1.8526242697978725,1.2904814332013947,31862.810637988663,744247116.5,49.6483001172333,94.66588511137162,87.51465416178195,80.03034563881974,0.09812589506315239,23357.861456599378,True
2023-04-10,ALKEM,1.2248446476984036,1.880094985966469,1.3300229678779047,62452.637083520094,677717295.0500001,72.50973845297717,93.82303839732889,89.81636060100166,87.19118590992079,0.1921725397964306,10851.700211532541,True
2023-02-01,AMBER,1.733034782636605,2.8226389770735,1.4398532507068045,26895.20667572288,252850118.4,91.90505173463177,99.33049300060864,97.56542909312233,96.92646067746503,0.14038087321217507,9401.307877966103,True
2023-02-02,AMBER,1.7239115692865827,2.894256359077911,1.546566808819192,30694.719852432558,254236004.0,92.02192448233862,99.20828258221681,98.05115712545675,97.15624284795359,0.16016111015179108,8282.727622935181,True
2023-08-28,AMBER,1.3184395597180902,1.9337407434434493,1.7020202710881924,54308.98693872246,910053556.1999999,72.51908396946564,93.06615776081425,98.9821882951654,91.31480526780553,0.20535789392608328,16756.960633915438,True
2023-05-29,AMBUJACEM,1.546489335182352,1.8103408103329643,1.2758889228792007,77833.08763308763,2183585341.0,75.26462395543176,87.35376044568245,89.025069637883,85.59919822435481,1.9030065302648846,28054.718210507373,True
2024-09-09,ANANDRATHI,1.081248262567045,1.2982329124754801,1.281847586386263,91133.00879396984,530110442.4,56.73886883273165,80.08423586040915,90.85439229843561,79.63517760874039,0.24403780787757479,5816.887310265967,True
2024-05-15,ANGELONE,1.2382443097372782,1.354710492581671,1.0072418331238182,35839.190066547635,1360487046.6000001,62.20794392523364,88.25934579439252,75.64252336448598,76.19431895476804,0.13234909403989678,37960.87590355121,True
2024-06-24,APARINDS,1.745119578670789,1.0377426687318652,1.0649807082130414,56188.74043325982,511096625.90000004,90.94510469722694,48.50028296547821,57.27221279003961,59.788129753297625,0.06933512065629176,9096.06839304528,True
2024-06-25,APARINDS,1.4875037179136013,1.1436220244975805,1.093286697673238,53799.48545292847,513422617.25,84.36260623229461,63.682719546742206,66.51558073654391,68.85411879429047,0.06605957709590429,9543.262596799666,True
2024-07-15,APLAPOLLO,1.3792715819535442,1.3182668986495096,1.1595950309711778,73242.64987197975,2102737396.5,66.6095890410959,71.34703196347031,83.10502283105022,75.95535419689058,0.4641755073831098,28709.193348074627,True
2023-04-21,APOLLOHOSP,1.082225088252939,1.0027776005955185,1.0484348839385162,51786.23073739562,731673494.5,52.12705615428247,61.71298922291548,61.99659671015315,59.80355122616249,0.12022730468299683,14128.726576187124,True
2023-08-07,APOLLOHOSP,1.0915618675781253,1.5449290156239353,1.1940324336675119,75565.734178789,1849125187.1999998,52.556109725685786,73.50374064837905,81.85785536159601,72.54989753541689,0.14645019735787318,24470.41912972033,True
2023-12-04,APOLLOHOSP,1.3020744791127974,1.703989015654872,1.1631430920254933,80827.76898612626,4055129246.3,71.06051527860996,93.58897543439186,78.13061713600959,80.93395243956677,0.15033243397042317,50170.00094356242,True
2023-12-06,APOLLOHOSP,1.337236723320928,2.0217251736754567,1.2806215470089375,72844.96053291965,3997827840.6000004,71.52278177458034,90.28776978417267,84.53237410071942,83.38862940349237,0.13436460357198543,54881.32344849478,True
2023-03-20,APOLLOPIPE,1.0843638832858862,1.85198372623573,1.6982025898021942,34103.6750483559,75772207.5,48.08988764044943,92.35955056179776,97.69662921348315,83.41064008655212,0.6422387020670675,2221.819419536514,True
2023-09-20,APOLLOTYRE,1.2119947857106428,1.7453290506931756,1.09302004275005,31334.151951038864,880558536.0,54.095238095238095,92.95238095238095,76.0,75.44349108982323,0.8138610266207306,28102.197799254805,True
2023-09-21,APOLLOTYRE,1.250151204370646,1.9179710012917957,1.1229039145235689,35447.87790642766,856973184.0,61.753494282083864,94.85387547649302,81.8297331639136,80.86600861012104,0.9240251454795225,24175.584960605145,True
2023-10-16,APTUS,1.2832863954228049,1.1482446896300902,1.3139339975696789,29256.812243374392,190362672.7,64.42663378545006,57.33662145499383,88.71763255240444,73.02394045582295,1.012800774652673,6506.61019103714,True
2024-04-11,ARVEE,1.0157976258386043,3.311546365052004,2.5787816421919776,30021.39037433155,8816398.2,32.90986085904416,99.57652752571083,99.87900786448881,80.04282921500469,1.7035604572920207,293.6705492340577,True
2023-08-28,ASHOKLEY,1.0591639866561628,1.0341342725400795,1.1256918822498678,40125.26794047362,2347761937.5,57.82442748091603,63.61323155216285,73.47328244274809,67.07822572082915,2.1590698580271024,58510.8102202068,True
2023-08-29,ASHOKLEY,1.1731611332270206,1.2386325908653022,1.1656633536688732,51761.34338363937,2355274775.7,65.62698917886696,74.85677912157861,76.76639083386378,73.83837158413921,2.781932467308817,45502.58207642368,True
2023-03-06,ASTRAZEN,1.2046988147063222,1.2272896929378954,1.0891320020407183,21962.508080155138,26091450.0,59.87478656801366,71.59931701764371,70.973249857712,68.7835095837199,0.06572325197951077,1187.999562926772,True
2023-03-07,ASTRAZEN,1.1613154351897679,1.454505243927043,1.2209809092029933,21962.508080155138,26091450.0,56.20022753128555,82.48009101251422,85.3811149032992,77.7342741299677,0.06561705814811733,1187.999562926772,True
2023-03-08,ASTRAZEN,1.1165679065301222,1.6513038352978813,1.3377729220320362,25573.37367624811,26471418.75,51.847640704945995,89.65321205230245,92.21148379761229,81.51915848505527,0.07637154947109279,1035.1164099473497,True
2024-03-05,ASTRAZEN,2.101983389805661,1.1332236170321763,1.1460051840484478,45199.40623453736,113656320.25,92.01732673267327,75.5569306930693,81.62128712871286,81.690211556661,0.08035764984853766,2514.5533917026096,True
2023-12-29,ATUL,1.0494179405354482,1.1567196028117106,1.076465189850226,54449.61832061069,318724402.7,46.90374003678725,67.62722256284488,73.57449417535254,65.57604152833845,0.07870481985033688,5853.565415707496,True
2023-03-13,AUBANK,1.01156984650209,1.2463160680766383,1.1731937483604682,42458.70535714286,1060607390.0000001,45.89700056593096,64.85568760611206,77.02320316921336,65.97595084817323,0.6919979062861309,24979.739280288093,True
2023-06-06,AUBANK,1.2985056830092745,1.6183221392066522,1.3092546729870078,41595.65992640085,1378425938.3,68.93474623535974,79.5872838817624,87.33965421081984,81.01558816041683,0.5550119376085287,33138.696218282865,True
2023-12-12,AUROPHARMA,1.1169811112756556,1.096397529685329,1.0182314809645316,40044.59705308705,1439179007.3999999,45.746579417013685,37.001784651992864,51.69541939321832,45.64204654381096,0.3931455302906765,35939.405395741225,True
2024-01-15,AUTOAXLES,1.5365670816198465,1.5951854189814738,1.2596316762835422,20559.948979591838,62456228.099999994,75.10703363914372,78.96024464831804,88.01223241590213,82.53568532591271,0.09435064056078914,3037.761823338916,True
2024-01-16,AUTOAXLES,1.441897925550907,1.65919972163545,1.3684663858675492,21320.964247020584,61469240.699999996,72.32088181261483,82.24127372933252,93.93753827311696,85.66946867569915,0.09781997505699494,2883.0422483631237,True
2023-05-15,BAJAJ-AUTO,1.00708418720607,1.0306488664805273,1.1178823215987586,64602.73864176033,1639449423.5,38.57954545454545,39.60227272727273,70.0,52.41810015575573,0.14600635151269967,25377.39820274789,True
2023-05-16,BAJAJ-AUTO,1.2343627495441847,1.24287486816399,1.1574042279847114,68817.73029706681,1630039169.5000002,49.687677455990915,51.84554230550823,75.35491198182851,61.994332225999955,0.15489970388838373,23686.325638226936,True
2024-08-05,BAJAJCON,1.350689287945663,1.7405969235491843,1.5890626846607778,34322.918710994236,778468614.0,64.46092413006275,84.312606959498,96.52025099828865,85.5063116663223,1.2635257902618555,22680.723063060566,True
2023-12-11,BALKRISIND,1.0093841147944094,1.2387763903244073,1.3059511154236614,97876.83014231594,1556751559.35,38.48899464604402,45.627602617489586,87.15050565139798,61.01554223480557,0.3791318010251633,15905.210222750726,True
2024-07-15,BALKRISIND,1.413364957887042,1.5160584630706997,1.0963425582623816,67453.47351301115,1731158723.2,68.43607305936074,80.65068493150685,75.34246575342466,75.43426107571307,0.21110314430081753,25664.48594920876,True
2024-01-09,BANDHANBNK,1.1154209168680376,2.1932221360155753,1.1540282027602036,46725.72984244671,7614322258.5,62.10653753026635,95.33898305084746,78.08716707021792,79.20630277615192,1.9181150342532727,162957.80256776165,True
2023-03-27,BASF,1.066979281361734,1.104675683908556,1.2534063289864101,48754.95750708215,61930606.65,55.60538116591929,67.32062780269058,86.04260089686099,73.26822221270984,0.21006323115490594,1270.2422444118415,True
2023-06-21,BAYERCROP,1.5662438096179014,2.5933363303707857,1.6736618651998418,61874.40076701822,307182015.75,82.93838862559242,98.28199052132702,98.51895734597157,95.11832122704858,0.14514442498713293,4964.605910393585,True
2024-06-14,BBL,1.3677719509173432,1.3914112096995899,1.0137210683328683,43867.86562922238,270488226.45,79.14529914529915,71.7948717948718,45.58404558404558,58.364176485169615,0.10012219776829057,6165.976451560376,True
2024-06-17,BBL,1.1453340201924516,1.3454524866333115,1.0633909363231506,43867.86562922238,270488226.45,62.96296296296296,71.62393162393163,53.27635327635327,60.208955974540906,0.0988251994186115,6165.976451560376,True
2024-07-08,BEL,1.192647400336198,1.329113983102066,1.1744603750121139,60635.67452845983,11901567749.400002,55.61926605504587,70.64220183486239,83.77293577981652,73.34848722141817,1.9653491391398028,196279.95964345886,True
2023-08-31,BERGEPAINT,1.9897263560268657,1.7923687387071572,1.2212020006958164,42033.01419610433,407449793.0,94.1101152368758,90.84507042253522,81.94622279129321,86.89423771551688,0.5966627045882353,9693.565897964152,True
2023-01-02,BFINVEST,1.0244824283398526,1.5662295734305027,1.839714834061344,32217.2373081464,27287827.0,46.763460375075624,91.34906231094979,99.21355111917725,83.3164143830013,1.1107145655384645,846.9946302037525,True
2023-04-04,BHAGCHEM,1.268117707042641,1.253419903752878,1.1934318197843892,26172.741679873216,14231700.0,78.37988826815644,69.9441340782123,78.2122905027933,75.66785804964701,0.21577158547676945,543.7603814713897,True
2023-05-10,BHARATFORG,1.0558608654401,1.6288290246873542,1.0120659275859891,40618.4601472678,884954497.5,47.89772727272727,85.17045454545455,45.11363636363636,55.28334952769453,0.5194733055037016,21787.00261633445,True
2023-12-13,BHARATRAS,1.0300631929914377,1.1605246486349285,1.0266256685147417,22178.683385579938,8690689.8,37.57467144563918,47.491039426523294,54.83870967741935,48.70803348438858,0.024271859109710185,391.84876978091876,True
