DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW,EVER_100_DELIV,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M,MOMENTUM_RAW,FOOTPRINT_RAW,STABILITY_RAW,HASMOMENTUMDATA,HASFOOTPRINTDATA,HASSTABILITYHISTORY20D,MOMENTUM_SCORE,FOOTPRINT_SCORE,STABILITY_SCORE,TRIGGER_COUNT_30D,AI_SCORE,COMBINED_SCORE,SIS,Whale_Density,Implied_Trades,AI_WIN_PROBABILITY,CHANDELIER_EXIT,REC_POS_SIZE_INR,ENTRY_PRICE,ATR14,STOP_LOSS,TAKE_PROFIT
2026-08-17,KNAGRI,,NSE,216.19,96.56,23935908.23,66418.66777486911,,77.108,71.41590909090908,59.50030303030303,3259285.008,1729608.8949999998,1505721.8115151515,9539.2202931421,8800.710830024776,7081.522182657287,1.622848877775005,15.89663379181191,9.379151270263481,,,,0.9473684210526315,0.9894736842105263,1.0,1,0.9936842105263157,3,0.9862141984533659,277.4854713539696,360.3792281882632,74.94586418417079,,100000.0,216.19000244140625,8.709996904645648,198.77000863211495,251.02999005998885
2026-08-17,MOCAPITAL,,NSE,53.6,78.13,86089318.4,33043.99747812971,,68.17799999999998,65.51681818181818,63.77060606060607,56956003.878,42123386.88409091,34998270.59060606,26615.70049423058,18817.50196847893,15630.976120283069,1.225172612061223,2.459816355128912,2.1140072906420193,,,,0.7684210526315789,0.8631578947368421,0.8947368421052632,1,0.9000000000000001,3,0.8593728426530545,38.38338842990504,2605.2936984085695,74.09415744177481,,100000.0,53.599998474121094,1.0957137516566686,51.40857097080776,57.98285348074777
2026-08-11,STYLEBAAZA,,NSE,365.25,69.41,517201305.0,75069.71477434438,,59.31,51.76818181818182,49.05196969696969,217479817.19,226675992.975,127081683.58560604,62087.84764156949,40152.621347179,25239.238341234857,1.4150298230386449,4.069833593694859,2.974325681282485,True,True,True,0.8631578947368421,0.8947368421052632,0.9473684210526315,1,0.9442105263157894,3,0.9144263521049365,14.514602737582878,6889.613295517107,72.61621302427449,,100000.0,353.45001220703125,13.4000004359654,326.65001133510043,407.0500139508928
2026-08-17,RPPINFRA,,NSE,58.35,94.5,53292630.45,30931.746919302077,,79.60600000000001,72.06454545454545,62.221818181818186,39486646.49,14556712.557727275,6460260.671666667,25776.958882393614,12743.893188415976,6984.682504282951,1.5187598620770264,8.24930032370523,4.428511517930125,,,,0.9210526315789473,0.9315789473684211,0.9736842105263158,4,0.8194736842105264,3,0.9503853451643431,58.04132139493984,1722.9104644181689,67.9577087383581,,100000.0,58.349998474121094,2.80642945425851,52.737139565604075,69.57571629115513
2026-08-07,RPPINFRA,,NSE,58.35,94.5,53292630.45,30931.746919302077,,79.60600000000001,72.06454545454545,62.221818181818186,39486646.49,14556712.557727275,6460260.671666667,25776.958882393614,12743.893188415976,6984.682504282951,1.5187598620770264,8.24930032370523,4.428511517930125,True,True,True,0.9210526315789473,0.9315789473684211,0.9736842105263158,1,0.9694736842105263,3,0.9503853451643431,58.04132139493984,1722.9104644181689,67.9577087383581,,100000.0,57.86000061035156,2.268571308680943,53.322857992989675,66.93428584507534
2026-08-11,RPPINFRA,,NSE,58.35,94.5,53292630.45,30931.746919302077,,79.60600000000001,72.06454545454545,62.221818181818186,39486646.49,14556712.557727275,6460260.671666667,25776.958882393614,12743.893188415976,6984.682504282951,1.5187598620770264,8.24930032370523,4.428511517930125,True,True,True,0.9210526315789473,0.9315789473684211,0.9736842105263158,2,0.8694736842105263,3,0.9503853451643431,58.04132139493984,1722.9104644181689,67.9577087383581,,100000.0,58.560001373291016,2.4721431732177734,53.61571502685547,68.44857406616211
2026-08-12,RPPINFRA,,NSE,58.35,94.5,53292630.45,30931.746919302077,,79.60600000000001,72.06454545454545,62.221818181818186,39486646.49,14556712.557727275,6460260.671666667,25776.958882393614,12743.893188415976,6984.682504282951,1.5187598620770264,8.24930032370523,4.428511517930125,,,,0.9210526315789473,0.9315789473684211,0.9736842105263158,3,0.836140350877193,3,0.9503853451643431,58.04132139493984,1722.9104644181689,67.9577087383581,,100000.0,58.779998779296875,2.5035719190325056,53.77285494123186,68.7942864554269
2026-08-06,ICICIPRULI,,NSE,507.0,72.55,560101152.0,38630.95033538569,,58.9,57.74,55.165454545454544,336424081.28000003,520966395.4772726,525657059.4795455,27306.05275817113,30638.756421921928,26838.488329379416,1.3151346363007153,1.065525787011322,1.439386222550298,True,True,True,0.8210526315789474,0.6,0.7263157894736842,1,0.7778947368421052,3,0.7055349197680563,6.897138168247455,14498.767106098114,63.08175142291663,,100000.0,507.0,9.5,488.0,545.0
2026-07-07,INDUSTOWER,,NSE,380.0,49.74,267566360.0,21458.70758738617,,57.45399999999999,54.4109090909091,57.70651515151516,1773753312.1599998,1052105101.0181816,1538606931.5742426,47847.19055623956,34464.66965654735,40004.73612821454,0.861947734487204,0.17390169932890953,0.5364041777106429,True,True,True,0.18947368421052632,0.031578947368421054,0.12631578947368421,1,0.29789473684210527,1,0.1090517078932769,8.019957212627988,12468.894452771263,61.92160102112587,,100000.0,368.9160461425781,8.673575099172934,351.5688959442323,403.61034653926987
2026-07-30,ANANTRAJ,,NSE,627.55,42.56,267217693.05,21521.83134983204,,41.328,41.23318181818182,37.05409090909091,460960921.47,666339497.565909,531838505.775,33012.51151234105,37687.64536881046,31873.932513344134,1.1485911259951669,0.5024414181154633,0.6752173218921715,True,True,True,0.5842105263157895,0.2894736842105263,0.20526315789473684,1,0.41052631578947374,1,0.2990541798755928,8.054044290325121,12416.122434306011,61.81434043669542,,100000.0,608.5999755859375,20.88710797627719,566.8257596333831,692.1484074910462
