DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M
2025-09-02,GS06NOV73,IN001173C011,BSE,4.29,100.0,4.29,0.004,100.0,100.0,100.0,4.29,4.29,4.29,0.004,0.004,0.004
2025-11-13,709G251174,IN001174P011,BSE,3.56,100.0,178.0,0.178,100.0,100.0,100.0,1588950.0,1588950.0,1588950.0,1588.95,1588.95,1588.95
2025-08-18,GS15DEC27C,IN001227C056,BSE,83.85,100.0,83.85,0.083,100.0,100.0,100.0,83.85,83.85,83.85,0.083,0.083,0.083
2025-10-27,GS16DEC2027,IN001227C072,BSE,67.75,100.0,67.75,0.067,100.0,100.0,100.0,67.75,67.75,67.75,0.067,0.067,0.067
2025-11-14,GS12DEC2040,IN001240C034,BSE,34.84,100.0,2987251.2800000003,2987.251,100.0,100.0,100.0,11051055.6,11051055.6,11051055.6,11051.055,11051.055,11051.055
2025-11-14,GS12DEC2041,IN001241C032,BSE,32.24,100.0,2499406.0,2499.406,100.0,100.0,100.0,2499406.0,2499406.0,2499406.0,2499.406,2499.406,2499.406
2025-08-21,1018GS2026,IN0020010081,BSE,109.5,99.89,99645.0,98.625,100.0,100.0,100.0,82782.75,82782.75,82782.75,82.2615,82.2615,82.2615
2025-09-05,74GS2035,IN0020050012,BSE,105.0,100.0,10500.0,10.5,100.0,100.0,100.0,10500.0,10500.0,10500.0,10.5,10.5,10.5
2025-10-13,824GS2027,IN0020060078,BSE,104.0,100.0,624.0,0.624,100.0,100.0,100.0,223026.28333333333,223026.28333333333,223026.28333333333,223.02599999999998,223.02599999999998,223.02599999999998
2025-10-24,828GS2032,IN0020060086,BSE,108.5,50.0,217.0,0.433,100.0,100.0,100.0,213.8,213.8,213.8,0.213,0.213,0.213
2025-09-05,826GS2027,IN0020070036,BSE,103.6,50.0,103.6,0.207,87.5,87.5,87.5,2339.5625,2339.5625,2339.5625,2.9347499999999997,2.9347499999999997,2.9347499999999997
2025-09-05,832GS2032,IN0020070044,BSE,108.1,100.0,216.2,0.216,100.0,100.0,100.0,216.2,216.2,216.2,0.216,0.216,0.216
2025-09-19,83GS2040,IN0020100031,BSE,109.25,50.0,19665.0,39.258,100.0,100.0,100.0,561.25,561.25,561.25,0.561,0.561,0.561
2025-09-30,897GS2030,IN0020110055,BSE,115.5,100.0,9817.5,9.817,100.0,100.0,100.0,9817.5,9817.5,9817.5,9.817,9.817,9.817
2025-09-08,883GS2041,IN0020110063,BSE,118.8,50.0,1900.8,3.8,50.0,50.0,50.0,1900.8,1900.8,1900.8,3.8,3.8,3.8
2025-09-30,833GS2026,IN0020120039,BSE,102.35,52.73,2968.1499999999996,5.636,100.0,100.0,100.0,317.9,317.9,317.9,0.3175,0.3175,0.3175
2025-08-12,83GS2042,IN0020120062,BSE,104.0,100.0,93600.0,93.6,100.0,100.0,100.0,93600.0,93600.0,93600.0,93.6,93.6,93.6
2025-08-06,92GS2030,IN0020130053,BSE,116.0,96.15,23200.0,24.228,96.15,96.15,96.15,23200.0,23200.0,23200.0,24.228,24.228,24.228
2025-09-09,824GS2033,IN0020140052,BSE,111.0,100.0,11100.0,11.1,100.0,100.0,100.0,9102.0,9102.0,9102.0,9.102,9.102,9.102
2025-10-06,815GS2026,IN0020140060,BSE,104.15,100.0,10415.0,10.415,100.0,100.0,100.0,10415.0,10415.0,10415.0,10.415,10.415,10.415
2025-09-10,817GS2044,IN0020140078,BSE,109.3,100.0,1014304.0,1014.304,100.0,100.0,100.0,9949.500000000002,9949.500000000002,9949.500000000002,9.949000000000002,9.949000000000002,9.949000000000002
2025-09-08,788GS2030,IN0020150028,BSE,107.85,100.0,215.7,0.215,100.0,100.0,100.0,215.7,215.7,215.7,0.215,0.215,0.215
2025-08-04,813CG2045A,IN0020150044,BSE,110.55,100.0,22110.0,22.11,100.0,100.0,100.0,22110.0,22110.0,22110.0,22.11,22.11,22.11
2025-10-17,772GS2055,IN0020150077,BSE,107.2,100.0,26800.0,26.8,100.0,100.0,100.0,66142.40000000001,66142.40000000001,66142.40000000001,66.142,66.142,66.142
2025-08-25,759GS2026,IN0020150093,BSE,101.35,100.0,101.35,0.101,100.0,100.0,100.0,101.35,101.35,101.35,0.101,0.101,0.101
2025-10-27,662GS2051,IN0020160092,BSE,97.61,100.0,9761000.0,9761.0,100.0,100.0,100.0,11997.0,11997.0,11997.0,11.997,11.997,11.997
2025-10-10,SGBOCT25V,IN0020170075,BSE,13139.62,100.0,52558.48,52.418,100.0,100.0,100.0,11050.4,11050.4,11050.4,11.05,11.05,11.05
2025-10-30,SGBNOV25VI,IN0020170083,BSE,11948.01,100.0,11948.01,11.948,100.0,100.0,100.0,36638.408,36638.408,36638.408,36.638400000000004,36.638400000000004,36.638400000000004
