DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW,EVER_100_DELIV,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M,VWAP,VWAP_1M,IS_FLEXGATE_ALERT,TOTAL_TURNOVER,VOLUME,WHALE_DENSITY,WHALE_DENSITY_1M
2026-08-12,LT,INE018A01030,NSE,4020.0,68.77,6155870220.0,81207.11708728134,False,52.896,54.63681818181817,53.391060606060606,2812989476.12,3937229578.977273,4361176124.184849,68140.59347285898,65518.69597898048,66891.71666623859,4003.0544782390193,3895.389946284647,True,8913293171.5,2226623.0,20.286288265306123,16.819547434903413
2026-08-12,PRIMESECU,INE032B01021,NSE,291.25,76.1,24298987.5,27818.66539451115,False,68.84,62.55090909090909,63.24181818181818,11195155.57,6123524.356818181,6924764.725000001,16725.188003004656,13449.805534252177,17509.178994887927,295.87576143173794,284.146846837992,True,32436563.85,109629.0,94.02144082332762,47.33399537571031
2026-08-12,WOCKPHARMA,INE049B01025,NSE,1847.4,51.85,553571562.6,36261.16425330241,False,39.306,41.17318181818182,35.06378787878788,696281391.6600001,552712870.7454545,884224309.6287879,45948.42094015537,41396.45096594611,43767.95862529815,1866.782081377964,1927.6202347622725,True,1078805897.7,577896.0,19.42442270848039,21.47541835233505
2026-08-12,CIANAGRO,INE052V01019,BSE,1521.2,61.54,47342786.4,53300.69107391911,True,90.552,97.85272727272728,90.19333333333334,45685666.49999999,52681593.62272728,108398715.70757575,32221.15193991793,25619.923905719224,32843.260833267326,1511.3438198248075,1465.0170815995486,True,76433191.0,50573.0,35.267085076708504,17.48779876187289
2026-08-12,SBIN,INE062A01020,NSE,1082.0,55.14,10544177642.0,94252.75973716064,False,44.02,50.18772727272728,51.07757575757576,6962237938.08,5740059285.768182,7288085090.296969,60716.8819201298,57717.061085336056,60014.10342118984,1079.3999110440795,1046.5568341133508,True,19077229834.6,17673922.0,87.31959190731453,55.1494760762174
2026-08-12,EVANS,INE06TD01010,BSE,76.0,64.71,1672000.0,100997.6,True,87.666,84.8409090909091,79.31924242424242,238912.0,254843.63636363635,497164.69696969696,70034.76666666666,69105.91479732389,84187.67299805068,74.26294117647059,67.075,True,2524940.0,34000.0,1360.0,1030.278267570986
2026-08-12,AMBUJACEM,INE079A01024,NSE,421.0,66.47,1511168975.0,45744.95606719408,False,52.8,43.99590909090909,46.788030303030304,687231363.02,470216824.73636377,631626087.8363636,36365.890263920825,31745.92037569211,36057.40009002054,420.7861812589448,435.1832221244327,True,2272472182.55,5400539.0,108.71306640900217,72.94840141289947
2026-08-12,TATASTEEL,INE081A01020,NSE,186.2,58.82,3995806194.8,39405.44993546696,False,52.264,51.26545454545455,50.981060606060616,2149362921.748,2107852509.789092,2879383352.2457576,28025.95656786611,27921.07053963336,30365.37734717836,185.44319811296165,187.6451986693412,True,6765718726.67,36484049.0,212.49336905559275,148.79714875537238
2026-08-12,BENGALASM,INE083K01017,NSE,6206.0,86.63,2172100.0,58296.82558139535,True,30.924,56.54363636363637,64.37545454545455,750214.7,753043.0454545454,2106877.159090909,9802.982330731336,17305.696341423212,27000.85227609249,6204.860148514851,6258.025788197251,True,2506763.5,404.0,9.395348837209305,2.7653603432031337
2026-08-12,IDFCFIRSTB,INE092T01019,NSE,85.8,65.31,931263847.8,27417.803610954867,False,58.282,50.904545454545456,49.72469696969697,526293176.3,866194376.5372727,961935293.2419696,21325.791186157818,24403.305853301008,26342.41998579617,85.06005953266721,84.28936366010592,True,1413579700.77,16618607.0,322.3346393312256,289.5182119502828
