DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW,EVER_100_DELIV,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M,MOMENTUM_RAW,FOOTPRINT_RAW,STABILITY_RAW,HASMOMENTUMDATA,HASFOOTPRINTDATA,HASSTABILITYHISTORY20D,MOMENTUM_SCORE,FOOTPRINT_SCORE,STABILITY_SCORE,TRIGGER_COUNT_30D,AI_SCORE,COMBINED_SCORE,SIS,Whale_Density,Implied_Trades,AI_WIN_PROBABILITY,ATR14,STOP_LOSS,TAKE_PROFIT,CHANDELIER_EXIT,REC_POS_SIZE_INR
2026-07-31,KINETICENG,INE266B01017,BSE,235.9,100.0,14649625.9,56813.17391304348,True,100.0,98.57636363636364,78.56333333333333,2448976.29,4989456.261363638,5119191.804545456,18170.5531306442,24057.66157927027,21816.12332543956,1.2728584157155587,2.86170678093996,2.6041828360400867,,,,0.8118811881188119,0.8910891089108911,0.9603960396039604,1,0.9465346534653465,3,0.9090242687838377,387.813138034081,257.85614305622624,62.83415035577337,10.62856946672712,214.64286106654578,278.4142778669085,,100000.0
2026-08-12,NIYOGIN,,BSE,62.0,92.92,14330060.0,28194.64859813084,,77.724,79.43818181818182,74.01590909090909,11889266.5,6306393.579999999,3166109.107424243,24735.40042489407,17535.407827127216,13470.592989413464,1.255405778855897,4.526079018059513,2.0930517773262847,,,,0.7821782178217822,0.9306930693069307,0.9207920792079208,1,0.9237623762376239,2,0.8951534290173968,196.75178330119232,508.25460548389344,73.63858705038456,4.918571744646345,52.162856510707314,81.67428697858537,,94539.63958259481
2026-08-12,EMERALL,,BSE,282.2,100.0,2152903.8,23235.225806451614,,95.132,86.77772727272728,81.79121212121213,1070572.28,1015772.543181818,403317.6310606061,16865.271536385935,15754.624956302125,10460.674121733236,1.2226252357258502,5.337985831014874,2.221197748448907,,,,0.693069306930693,0.9504950495049505,0.9405940594059405,1,0.9287128712871286,3,0.8912361117994061,1079.2505362502318,92.6568916494977,81.18341127659103,18.72142791748047,244.75714416503905,357.08571166992186,,100000.0
2026-08-11,STYLEBAAZA,,NSE,417.65,64.63,726604499.25,50041.05363990478,,63.072,55.22818181818182,50.06363636363637,734068446.68,337909819.82272726,176211348.7333333,82423.88402722901,51444.89666513759,29302.88922628502,1.2909569638641727,4.123482990585332,1.7077173944683035,True,True,True,0.8366336633663366,0.9158415841584159,0.8960396039603961,1,0.9128712871287128,2,0.8898880936687994,6.886972719210667,14520.167870138048,82.27227891154757,18.435716901506698,380.77856619698656,491.39286760602675,,100000.0
2026-08-18,STYLEBAAZA,,NSE,417.65,64.63,726604499.25,50041.05363990478,,63.072,55.22818181818182,50.06363636363637,734068446.68,337909819.82272726,176211348.7333333,82423.88402722901,51444.89666513759,29302.88922628502,1.2909569638641727,4.123482990585332,1.7077173944683035,,,,0.8366336633663366,0.9158415841584159,0.8960396039603961,2,0.8128712871287128,2,0.8898880936687994,6.886972719210667,14520.167870138048,82.27227891154757,18.435716901506698,380.77856619698656,491.39286760602675,,100000.0
2026-07-21,CSLFINANCE,,NSE,230.17,87.94,10377214.45,22968.10849019608,,83.84200000000001,72.8240909090909,66.42227272727273,5317923.92,3786893.872272727,4346785.149545454,16127.6665315534,10180.169262766824,11062.73619155863,1.3239534931464665,2.387330887767745,2.0761688693003264,True,True,True,0.8712871287128713,0.8613861386138614,0.9108910891089109,1,0.9198019801980197,3,0.8879782914265166,221.33211760113602,451.8097106006577,75.94586418417077,7.305000305175781,215.55999938964842,259.3900012207031,,100000.0
2026-07-15,JBCHEPHARM,,NSE,2408.9,66.77,7687558703.5,73166.03367999948,,69.586,62.35636363636363,60.504393939393935,950717164.7,612329817.5409092,466024459.0560606,41148.43093309749,32045.97915675925,30703.119030144117,1.103556215551588,16.496041257300664,2.3830163185755024,True,True,True,0.5148514851485149,0.9900990099009901,0.9504950495049505,1,0.9207920792079207,3,0.8655583734247165,0.9517460158930348,105070.0484479242,83.42384652901954,,,,,
2026-07-20,ASHIKA,,NSE,399.25,56.52,40743462.5,52859.48255899704,,47.292,37.50954545454545,34.61818181818182,48122259.73,31044330.99090909,18937397.506060604,71901.06019598272,50978.00587485615,36232.30984756396,1.632668067226891,2.1514816112911355,1.4589045738841016,True,True,True,1.0,0.8316831683168316,0.8316831683168316,1,0.8821782178217821,3,0.8641732974961833,129.73733530623974,770.7881448617243,80.6755615160684,,,,,
2026-08-07,PAYTM,,NSE,1632.0,57.18,4787367552.0,69883.15355056123,,42.61,40.14772727272727,39.09409090909091,2602920020.46,2676352919.818182,1722537307.9863634,67040.56175701231,59153.44418371292,51150.07226883716,1.462625135163417,2.7792533315846764,1.3662376307752955,True,True,True,0.9801980198019802,0.8811881188118812,0.7920792079207921,1,0.8613861386138613,3,0.8550259658966957,1.4597407195394139,68505.31650001009,75.86948639585076,53.97141810825893,1524.057163783482,1847.8856724330358,,100000.0
2026-07-31,HEROMOTOCO,,NSE,5735.0,68.13,1811789730.0,121079.80793956928,,56.614,52.94045454545455,52.46484848484849,1321086803.9,2218687208.8863635,1915887056.8560605,56748.53449367505,65763.0847449687,57832.99155184956,1.2985837559347093,0.9456662507930491,2.0936113572996904,True,True,True,0.8514851485148515,0.693069306930693,0.9306930693069307,1,0.9128712871287128,2,0.84061554823914,6.682884108166861,14963.599305544498,65.7536380734526,132.78571428571428,5469.428571428572,6266.142857142857,,100000.0
