DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,TOTAL_TURNOVER,VOLUME,VWAP,VWAP_1M,WHALE_DENSITY,WHALE_DENSITY_1M,ATW,EVER_100_DELIV,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M
2026-08-18,JISLDVREQS,IN9175A01010,NSE,21.01,87.62,24686.750000000004,28240.61,1341,21.059366144668157,22.099291402224274,40.63636363636364,196.97015116369195,855.7760606060606,False,55.489999999999995,71.505,69.71,342724.434,617820.024090909,491955.76363636367,3132.762910337783,4352.900768106593,3434.460844384323
2026-04-01,FELDVR,IN9623B01058,BSE,2.67,0.0,0.0,519.0,195,2.6615384615384614,2.6615384615384614,24.375,24.375,64.875,False,0.0,0.0,0.0,0.0,0.0,0.0,64.875,64.875,64.875
2025-12-11,SOLARAPP1,IN9624Z01022,BSE,420.0,60.34,29400.0,49277.0,116,424.80172413793105,424.80172413793105,29.0,29.0,12319.25,False,60.34,60.34,60.34,29400.0,29400.0,29400.0,12319.25,12319.25,12319.25
2026-08-18,KRBL,INE001B01026,NSE,393.6,42.16,118727472.0,284586267.85,715530,397.7279329308345,376.4055360690807,31.960425227800606,34.356203470918686,12711.553861443632,False,44.12,48.45,49.44075757575758,125481564.1,67260267.87500001,80238968.4530303,14126.272991166745,12931.865184769558,13610.91501488359
2026-08-18,PREMCO,INE001E01012,NSE,375.65,73.31,129974.9,177032.75,472,375.0693855932203,378.88921276107413,8.581818181818182,15.814754501413233,3218.7772727272727,True,90.958,88.86227272727272,83.44045454545456,671468.6100000001,385334.91818181815,292172.77878787875,9685.81875886818,5992.0398830501135,4764.849981243557
2026-08-18,MDRNSTL,INE001F01019,BSE,13.2,0.0,0.0,41067.0,3143,13.066178810054089,13.227414766102328,76.65853658536585,84.40164787209295,1001.6341463414634,True,84.25800000000001,78.08863636363637,75.40757575757577,43249.672,28245.045454545456,30321.07257575757,999.9106408186915,1116.4156033466913,1062.2311159395988
2026-08-18,RISAINTL,INE001O01029,BSE,0.42,0.0,0.0,14952.0,35902,0.4164670491894602,0.4128459963267464,1055.9411764705883,1274.4361437831083,439.7647058823529,True,99.402,89.2409090909091,76.91287878787878,12013.725999999999,18345.93545454545,27361.18727272727,396.10262725779967,526.145859534954,597.5233027995381
2026-08-18,RELIANCE,INE002A01018,NSE,1322.0,55.42,7458349874.0,13466467033.1,10180567,1322.7619869404132,1302.3209982418546,51.411552310108526,59.18020247040257,68005.24708541014,False,57.162,58.89863636363636,54.43621212121212,7814736044.0199995,8991361141.490908,10157105199.654547,91089.78810050746,77071.62035740975,80082.54899482004
2026-03-09,SOFTSOL,INE002B01016,BSE,207.1,100.0,207.1,207.0,1,207.0,204.94781872088097,1.0,23.94748876405665,207.0,True,58.5,78.47363636363637,72.68287878787878,88898.85,91333.825,68614.38030303031,7214.4989393939395,4907.985586036217,4505.464805979031
2026-08-18,MADALA,INE002B01016,BSE,191.55,0.0,0.0,104212.0,550,189.47636363636363,188.86893482629918,28.94736842105263,13.528626707528419,5484.8421052631575,True,75.202,80.62909090909092,71.72121212121213,42025.58,48104.98636363636,64964.52272727273,2760.9714310012814,2555.1373159135155,4498.353662095361
2026-08-18,SAPL,INE002E01010,BSE,3603.55,0.0,0.0,10313449.0,2867,3597.2964771538195,3758.37640836974,98.86206896551724,19.29990796679502,355636.1724137931,True,100.0,75.69045454545456,76.15681818181817,4104619.6099999994,2079355.4318181819,732577.3454545455,156140.30903448275,72536.3187861096,32363.745785324663
2026-08-18,SJVN,INE002L01015,NSE,66.29,55.36,39245072.09,71013203.4,1069394,66.40508867639056,68.35798332995044,95.15028027404573,121.31634431654503,6318.462799181422,False,56.802,50.2640909090909,45.66121212121212,55385163.708000004,59428161.145,77614813.9171212,7933.424521021506,8292.940642440914,9881.550073235994
2026-08-18,MGL,INE002S01010,NSE,1111.4,55.96,172480388.8,307744192.5,277306,1109.7639160349938,1126.583786642172,13.715119442108907,13.211539660768915,15220.544660962461,False,59.464,54.721363636363634,50.08651515151515,104694333.39999999,147840436.77272725,126989494.2318182,15641.29639494325,14883.906378402282,14526.456032040778
2026-08-18,SIEMENS,INE003A01024,NSE,3957.0,35.72,170162871.0,476338302.9,120386,3956.75828501653,3866.0071413105657,8.413306310713537,11.846056950356738,33289.419449297646,False,31.658000000000005,35.513636363636365,37.010606060606065,528939076.8,479726377.30909085,577133340.5818182,46708.23794016144,45796.94076645081,47502.24904969329
2026-08-18,INTSTOIL,INE003B01014,BSE,37.06,0.0,0.0,43872.0,1095,40.06575342465754,40.055479355700925,91.25,120.68209073694291,3656.0,True,96.118,88.61909090909093,76.91484848484849,293305.34,105909.89090909091,127735.68303030303,15480.215079365076,4833.978994116443,3698.0232242459333
2026-08-18,MULLER,INE003F01015,BSE,217.95,0.0,0.0,11815.0,57,207.28070175438597,214.85243651338365,14.25,11.54787565841048,2953.75,True,91.63,81.88227272727273,84.48439393939393,9524.960000000001,11536.525000000001,8377.177272727275,1871.575,2481.089221763086,1647.327124068412
2026-08-18,PROTEAN,INE004A01022,NSE,551.75,54.08,45855942.5,84442910.9,153670,549.5081076332401,596.473720765617,22.658507814803894,29.895645205850524,12451.03375110587,False,58.806000000000004,49.50636363636364,46.529393939393934,45864504.82000001,85948760.14545454,100295337.1439394,15442.623643891095,17831.966730622444,17880.05559679208
