ticker,trigger_date,engine,market_cap_class,raw_status,return_pct,outcome_tag,market_cap_cr,bse_scrip
ASHIKA,2026-07-20,SBIA_ALPHA,M,HIT_TP,9.382051511104883,WINNER,2952.2176,543766
SMCGLOBAL,2026-08-05,SBIA_ALPHA,M,MOMENTUM_LOST,0.7644117631874271,LOSER,1702.422016,543263
ETERNAL,2026-07-15,SBIA_ALPHA,L,HIT_SL,-5.8780797562947305,LOSER,297104.0743424,543320
ETERNAL,2026-07-14,SBIA_ALPHA,L,HIT_TP,11.27281164446168,WINNER,297104.0743424,543320
RECLTD,2026-08-13,SBIA_ALPHA,L,MOMENTUM_LOST,-1.8698309992258029,LOSER,83920.846848,532955
STYLEBAAZA,2026-08-11,SBIA_ALPHA,M,HIT_TP,15.164804043765498,WINNER,3038.985216,544243
SUDARSCHEM,2026-08-06,SBIA_ALPHA,M,HIT_SL,-7.426495893600346,LOSER,9732.026368,506655
JPOLYINVST,2026-08-13,SBIA_ALPHA,M,HIT_SL,-6.059099866548902,LOSER,1059.602432,536773
MANORAMA,2026-07-06,SBIA_ALPHA,L,HIT_TP,13.907700557001048,WINNER,12478.6655232,541974
MANORAMA,2026-07-01,SBIA_ALPHA,L,HIT_TP,14.285716514291424,WINNER,12478.6655232,541974
PAYTM,2026-08-07,SBIA_ALPHA,L,HIT_TP,13.255114558318471,WINNER,106396.0444928,543396
JSWCEMENT,2026-07-17,SBIA_ALPHA,L,HIT_SL,-4.46623828456226,LOSER,16757.7812992,544480
JSWCEMENT,2026-07-21,SBIA_ALPHA,L,HIT_SL,-4.439411290813853,LOSER,16757.7812992,544480
PAGEIND,2026-07-08,SBIA_ALPHA,L,HIT_SL,-5.575964540107974,LOSER,40488.5635072,532827
ANANTRAJ,2026-07-31,SBIA_ALPHA,L,MOMENTUM_LOST,0.4083247066403122,LOSER,22503.104512,515055
ANANTRAJ,2026-07-30,SBIA_ALPHA,L,MOMENTUM_LOST,3.031549942023619,WINNER,22503.104512,515055
HINDPETRO,2026-08-12,SBIA_ALPHA,L,MOMENTUM_LOST,0.0290947580724788,LOSER,75856.871424,500104
HINDPETRO,2026-08-13,SBIA_ALPHA,L,MOMENTUM_LOST,-0.7092182362562882,LOSER,75856.871424,500104
OFSS,2026-07-20,SBIA_ALPHA,L,HIT_SL,-6.388000983525936,LOSER,105004.8331776,532466
IPCALAB,2026-07-21,SBIA_ALPHA,L,HIT_SL,-6.594140355081259,LOSER,49852.8813056,524494
DLF,2026-07-16,SBIA_ALPHA,L,MOMENTUM_LOST,3.895856213267544,WINNER,168791.506944,532868
DLF,2026-07-13,SBIA_ALPHA,L,HIT_SL,-5.983524044187252,LOSER,168791.506944,532868
DLF,2026-07-07,SBIA_ALPHA,L,MOMENTUM_LOST,3.4171524043195145,WINNER,168791.506944,532868
GMRAIRPORT,2026-07-03,SBIA_ALPHA,L,HIT_SL,-4.677050617610858,LOSER,102897.2150784,532754
KNAGRI,2026-08-17,SBIA_ALPHA,M,MOMENTUM_LOST,-1.568064827866971,LOSER,502.4530944,
MOCAPITAL,2026-08-17,SBIA_ALPHA,S,MOMENTUM_LOST,-0.447757221271935,LOSER,,590149
RPPINFRA,2026-08-17,SBIA_ALPHA,S,MOMENTUM_LOST,-1.4395889880964323,LOSER,267.763968,533284
