DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,TOTAL_TURNOVER,VOLUME,VWAP,VWAP_1M,WHALE_DENSITY,WHALE_DENSITY_1M,ATW,EVER_100_DELIV,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M,IS_FLEXGATE_ALERT,MOMENTUM_RAW,FOOTPRINT_RAW,STABILITY_RAW,MOMENTUM_SCORE,FOOTPRINT_SCORE,STABILITY_SCORE,SIS,Implied_Trades,Whale_Density,AI_WIN_PROBABILITY,AI_APPROVED,CHANDELIER_EXIT,REC_POS_SIZE_INR,ATR_Pct,Phase1_ATW_Ratio,Phase2_Volume_Spike,Close_vs_VWAP_Pct_Distance,WHALE_PCTL,ENTRY_PRICE,ATR14,STOP_LOSS,TAKE_PROFIT
2026-09-03,GUJJUBHAI,INE311N01016,BSE,99.95,57.43,10632780.95,18549616.0,185233,100.14206971759891,122.31275871490271,1023.3867403314918,348.57928503389184,102484.06629834254,False,62.092,55.316818181818185,61.199090909090906,10095872.010000002,6290732.877272728,6992583.071212122,30816.47545368665,42635.69398336372,48003.21694656138,True,0.938412632392044,1.520579854642595,2.134941631358392,0.2922649374710514,0.8341824918943955,0.9367762853172764,0.757287438715053,103.75057639737663,1023.3867403314918,69.65171958583694,True,72.0607155936105,53757.20574804414,9.30107867480057,0.8881840988037751,1.6902292876580882,-0.1917972318133121,66.66666666666666,99.9499969482422,9.2249995640346,75.22500283377511,
2026-09-02,ITCONS,INE0O6A01019,BSE,299.5,59.59,24199600.0,39061670.0,135600,288.06541297935104,280.5949317287665,368.4782608695653,347.8556673007555,106145.84239130437,False,57.212,57.71863636363637,78.72666666666667,10702644.0,6596627.2727272725,6691616.96969697,99016.81236173389,97606.53721772,106281.16432414646,True,0.7569226860868828,3.616405438265227,0.9987267552655956,0.1093284437313775,0.956681182672473,0.6761402704561081,0.6166768909448923,227.98443589329383,368.4782608695653,74.69767159430268,True,230.09284864153184,64726.7595927906,7.724780340397127,0.918380390715614,3.668480724998588,3.9694411426853984,35.714285714285715,299.5,23.1357171194894,235.59284864153184,
2026-09-02,DEEDEV,INE841L01016,NSE,643.85,54.16,185109450.4,342737159.35,530818,645.6773495812124,568.3597988596811,53.71020945057169,41.08232414624673,34679.465683496914,False,58.626,56.42409090909091,39.46515151515151,125462547.73999998,85195479.26136364,131805168.97878788,24023.46693526586,23349.54148844901,26868.991395869536,True,1.3723499827235384,1.4044172306306946,1.2906872897665989,0.9702039880815952,0.8297043318817328,0.8255787302314921,0.8548841800783085,5337.724983695148,53.71020945057169,74.62477328819752,True,552.0285714285715,100000.0,4.753769178712877,0.869014439151536,2.1727614188555613,-0.2830128054511453,7.142857142857142,643.8499755859375,30.607142857142858,581.9785592215402,
2026-09-02,INDOTHAI,INE337M01021,NSE,39.61,69.22,178993034.85,259322473.66,6527923,39.72511220797182,63.68147825091095,2155.141300759326,247.65837564988743,85613.22999669857,False,78.00399999999999,92.44,57.252272727272725,134201746.076,47173314.66727272,102180452.30045453,28928.609854634946,15771.25146260424,27242.64757160232,True,1.2090349728077487,1.7517346108792258,3.142617830065152,0.893651157460463,0.8748567499427,0.9761631904652762,0.928687321089382,2090.716993820959,2155.141300759326,72.43467164584348,True,30.260714056832448,63550.307864335264,7.867782498668309,0.5789177216036873,3.7943705273307713,-0.28977188879713,64.28571428571429,39.61000061035156,3.116428647722517,33.65071405683245,
2026-09-02,TITANBIO,INE150C01029,BSE,414.85,100.0,19278494.35,19085422.0,46471,410.6953153579652,395.6048266705345,74.83252818035427,50.6763239493554,30733.36876006441,False,100.0,100.0,100.0,9815026.53,8055230.843181819,10467249.344696969,22554.641558704203,20047.7983522846,20859.56671591955,True,1.0,1.841791832327667,1.4733464591385494,0.4224157689663075,0.8858583543433417,0.8771487508595004,0.7783096166562615,627.2821733441367,74.83252818035426,71.85179294107675,True,362.1035596575056,100000.0,4.238193752158966,0.9610841215117174,2.3932888734427618,1.0116221166081574,21.428571428571427,414.8500061035156,17.582146780831472,390.2535596575056,
2026-09-01,GALAGEX,INE803L01016,BSE,96.89,55.24,10095744.22,18422600.0,188625,97.66785950960902,68.56622167093859,413.6513157894737,984.4233182937602,40400.43859649123,False,55.966,55.92409090909091,71.00924242424243,4660959.8780000005,4510032.476818183,4594453.194696969,54952.6891034832,67498.1874601709,78558.43164500185,True,0.7779269023878667,2.197376660981716,0.514272468919148,0.1289358768099287,0.9039301310043668,0.1969662146632958,0.3597845525331162,249.8919459967649,413.6513157894737,70.17759273111223,True,70.37856953212193,54819.75036243014,9.12080038114634,0.8592099669859607,2.2385080976451244,-0.7964334567324948,50.0,96.88999938964844,8.83714348929269,81.48856953212193,
2026-08-31,SINDHUTRAD,INE325D01025,NSE,24.98,75.07,31573246.18,41981636.52,1683690,24.934302941752936,24.637437422900327,1358.910411622276,469.4577643750736,33883.48387409201,False,64.98400000000001,60.05636363636364,49.57181818181818,48772457.75,18523748.555454552,23889255.38590909,15390.30293985482,11566.236292485562,15554.978371773315,True,1.5143685011645178,1.3216504939129772,2.178304788618564,0.980933153880664,0.8595782862270076,0.9358456707043518,0.9214702727086896,931.8181771781012,1358.910411622276,72.944128369752,True,21.425000784737723,100000.0,4.743793988874135,0.7435713516306854,1.7044739127978965,0.1832698445744158,90.9090909090909,24.979999542236328,1.184999738420759,22.395001547677175,
2026-08-25,CARBORUNIV,INE120A01034,NSE,1106.7,77.39,180110998.20000002,234898196.9,210305,1116.9406191008295,1124.5318896333204,22.38477913783928,11.812051784748643,25002.46906865354,False,52.742,47.71136363636364,47.05,232521916.2,122167246.12727274,131697584.5530303,20201.9617636958,13283.028913950026,14161.212898678968,True,1.6448459086078642,1.3676104904374706,1.7655598604118083,0.9916897506925209,0.8097876269621422,0.9078947368421052,0.8941301937691604,7203.728467994043,22.38477913783928,74.06178375656258,True,951.5785661969868,100000.0,4.672191614801163,0.9379866688671232,1.474298585828496,-0.9168454370540724,18.181818181818183,1106.699951171875,51.70714460100447,985.7785906110493,
2026-08-25,REMAGNET,INE519N01014,BSE,3953.2,73.18,23110407.2,30982547.0,7989,3878.150832394543,3646.29819600195,16.713389121338913,12.319401817537276,64817.0439330544,True,63.64,79.08363636363636,85.62,10626743.77,10906435.45,11783122.6625,34307.88774530341,44920.21262310931,46784.65643745026,True,0.8547068441952815,1.96131431895802,1.3854337910915926,0.1544321329639889,0.8797322253000923,0.8335641735918744,0.6840327559700761,356.54830578002503,16.713389121338913,72.46480825954276,True,3345.7,97609.87654320987,5.12243245977942,0.960148391453218,2.1189697867785027,1.9351791832995304,9.090909090909092,3953.199951171875,202.5,3532.4501953125,
2026-08-20,AEROPLANE,INE05TO01019,NSE,182.56,77.71,132262529.28,167260874.84,932330,179.4009361921208,190.64236909309483,146.11032753486916,119.46480976588508,26212.329547092933,False,53.69199999999999,60.151363636363634,60.26217391304348,49282027.74,59547519.43636362,62379969.6069565,23853.885480827907,22775.054357024223,23032.419233469347,True,,,,,,0.0,0.0,5045.813613871206,146.11032753486916,70.44021609519919,True,151.6578557041713,88615.20979855246,5.642372242153937,0.9888259729107772,2.2211257585858704,1.7608959434281577,27.77777777777778,182.5599975585937,10.300714765276227,166.0978557041713,
