DATE,SYMBOL,DELIV_QTY,DELIV_PER
20260909,500002,14776,73.91
20260909,500003,102256,39.94
20260909,500008,21999,58.16
20260909,500009,6707,100.0
20260909,500012,46327,68.41
20260909,500013,10862,100.0
20260909,500014,5001,87.54
20260909,500016,13352,98.87
20260909,500020,10021,70.86
20260909,500023,2060,76.04
20260909,500027,565,61.82
20260909,500028,5649,89.34
20260909,500031,11835,73.78
20260909,500032,877113,46.32
20260909,500033,1452,60.8
20260909,500034,1591880,92.27
20260909,500038,35276,44.17
20260909,500039,13940,50.78
20260909,500040,10439,70.91
20260909,500041,38,92.68
20260909,500042,664,67.0
20260909,500043,315704,96.74
20260909,500048,17283,43.12
20260909,500049,246201,44.95
20260909,500051,12991,100.0
20260909,500052,121820,55.86
20260909,500058,9938,88.55
20260909,500059,818,100.0
20260909,500060,64681,54.7
20260909,500067,294904,97.38
20260909,500068,33,84.62
20260909,500069,156,100.0
20260909,500074,5819,72.47
20260909,500078,2393,63.61
20260909,500083,26932,75.79
20260909,500084,143888,32.37
20260909,500085,13103,66.89
20260909,500086,35239,40.75
20260909,500087,33416,71.63
20260909,500089,156,87.64
20260909,500092,1812,80.39
20260909,500093,104910,43.96
20260909,500096,346568,88.08
20260909,500097,5070,50.6
20260909,500101,33583,46.14
20260909,500103,312809,61.03
20260909,500104,174534,50.63
20260909,500106,2729417,35.35
20260909,500108,39167,65.13
20260909,500109,1208592,44.58
20260909,500110,121692,30.65
20260909,500112,216583,47.14
20260909,500113,693251,62.57
20260909,500114,10310,27.05
20260909,500116,597760,38.39
20260909,500117,75289,49.04
20260909,500119,14150,54.26
20260909,500120,100,100.0
20260909,500123,201,57.1
20260909,500124,14900,59.83
20260909,500125,9533,29.17
20260909,500126,128,56.39
20260909,500128,59183,59.15
20260909,500133,257,66.75
20260909,500135,273101,80.08
20260909,500136,6371,63.34
20260909,500142,323,100.0
20260909,500143,3304,100.0
20260909,500144,121235,47.53
20260909,500147,164,67.49
20260909,500148,6825,69.46
20260909,500150,316,73.66
20260909,500151,40,100.0
20260909,500153,16353,100.0
20260909,500159,70,100.0
20260909,500160,52515,84.48
20260909,500163,8786,58.36
20260909,500164,4191,65.95
20260909,500165,7958,56.81
20260909,500166,12688,95.7
20260909,500168,461,74.47
20260909,500170,168,97.11
20260909,500171,4484,68.14
20260909,500173,8471,90.48
20260909,500174,31,100.0
20260909,500178,196,100.0
20260909,500179,23946,73.66
20260909,500180,2754989,80.36
