DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW,EVER_100_DELIV,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M,MOMENTUM_RAW,FOOTPRINT_RAW,STABILITY_RAW,HASMOMENTUMDATA,HASFOOTPRINTDATA,HASSTABILITYHISTORY20D,MOMENTUM_SCORE,FOOTPRINT_SCORE,STABILITY_SCORE,TRIGGER_COUNT_30D,AI_SCORE,COMBINED_SCORE,SIS,Whale_Density,Implied_Trades,AI_WIN_PROBABILITY,ATR14,STOP_LOSS,TAKE_PROFIT,CHANDELIER_EXIT,REC_POS_SIZE_INR
2026-09-08,SAGCEM,,NSE,151.82,87.09,14388133.22,27305.72393442623,,70.228,64.79227272727273,58.34030303030303,10195225.796,5566819.6468181815,5057104.3507575765,10382.54151819213,7119.325246790689,6813.610815899762,1.492793068880082,2.8451327522724728,4.0075262107291945,,,,0.9894736842105263,0.8421052631578947,0.9578947368421052,1,0.9578947368421054,3,0.9285754863979294,189.77947671814948,526.9273671173346,72.42160816385707,,,,,
2026-09-08,GILT5BETA,,NSE,66.8,99.97,13276767.2,456085.43620689656,,98.724,92.00227272727274,86.33303030303031,3107484.016,913682.5486363636,354753.29303030303,90876.79154545456,36185.556211297,16528.541774770936,1.1579577323893728,37.425352944830585,27.593809691249504,,,,0.7210526315789474,0.9842105263157894,0.9842105263157894,2,0.8610526315789474,3,0.9285416817211412,3435.2145317942804,29.110263441907374,81.18341127659103,1.0385709490094865,64.72285810198102,70.95428379603794,,100000.0
2026-09-07,GILT5BETA,,NSE,66.8,99.97,13276767.2,456085.43620689656,,98.724,92.00227272727274,86.33303030303031,3107484.016,913682.5486363636,354753.29303030303,90876.79154545456,36185.556211297,16528.541774770936,1.1579577323893728,37.425352944830585,27.593809691249504,,,,0.7210526315789474,0.9842105263157894,0.9842105263157894,1,0.9610526315789474,3,0.9285416817211412,3435.2145317942804,29.110263441907374,81.18341127659103,1.0385709490094865,64.72285810198102,70.95428379603794,,100000.0
2026-08-21,ACESOFT,,BSE,204.55,100.0,18134175.7,72993.65702479339,,100.0,88.21954545454545,76.74787878787879,4064959.3,8406530.011363639,5955996.7727272725,26551.34250348401,34770.93668870097,24886.837554914066,1.3029676074356018,3.0446919956432907,2.9330226013541973,,,,0.8842105263157894,0.8526315789473684,0.9473684210526315,1,0.9421052631578948,3,0.9058409993184895,402.51985109416023,248.43495228414787,62.42618071630468,,,,,
2026-09-07,GNFC,,NSE,589.1,62.59,382613969.9,28298.298570768875,,49.942,49.76545454545455,48.08166666666667,249293318.0,184005939.10454547,137250834.67045453,21252.987967300047,19289.34295857514,15395.503084893757,1.3017435613019515,2.7876986746104198,1.838088590851928,,,,0.868421052631579,0.8157894736842105,0.8789473684210526,1,0.8957894736842105,3,0.8576842808009741,7.396044263142018,13520.741147852135,80.83744563440541,13.368598463444568,562.3628030731109,642.5743938537782,,100000.0
2026-09-08,GNFC,,NSE,589.1,62.59,382613969.9,28298.298570768875,,49.942,49.76545454545455,48.08166666666667,249293318.0,184005939.10454547,137250834.67045453,21252.987967300047,19289.34295857514,15395.503084893757,1.3017435613019515,2.7876986746104198,1.838088590851928,,,,0.868421052631579,0.8157894736842105,0.8789473684210526,2,0.7957894736842105,3,0.8576842808009741,7.396044263142018,13520.741147852135,80.83744563440541,13.368598463444568,562.3628030731109,642.5743938537782,,100000.0
2026-07-23,KRISHIVAL,,NSE,418.0,94.07,21186748.0,38641.055240549824,,79.226,77.42818181818183,82.91060606060606,4461517.94,11228028.659090908,7548221.787878787,13375.359724382008,15273.247002735689,19514.014914600568,1.1345954935034082,2.8068528714964973,1.9801694018199312,True,True,True,0.7052631578947368,0.8315789473684211,0.9052631578947369,1,0.8968421052631579,3,0.8415497652583475,182.38313515858982,548.2963099249598,42.614194769558594,,,,,
2026-09-08,CONFIPET,,NSE,82.49,64.72,195073919.31,22236.35934844607,,52.11999999999999,47.338636363636354,45.36242424242424,161321873.986,138761649.4981818,112418127.01484849,16809.882860056146,16063.987478765746,15168.406774242922,1.4267315091919623,1.7352532415366975,1.465965389733947,,,,0.9789473684210527,0.7157894736842105,0.8315789473684211,1,0.868421052631579,3,0.8240589511052072,11.398940169500237,8772.74540553925,57.50357133816397,4.305000305175781,73.87999938964843,99.71000122070312,,100000.0
2026-09-08,BHARATFORG,,NSE,2003.7,63.74,2487210843.3,82375.38000339393,,60.608,56.19227272727273,51.35878787878788,1708109209.7199998,1484776806.1636362,1280183703.7545457,63998.041263827065,55647.23856098049,50168.60994022894,1.2410729036369215,1.9428546356319516,1.6419705489455707,,,,0.8210526315789474,0.7578947368421053,0.8421052631578947,1,0.8631578947368421,3,0.8122561449640653,3.3119580603829837,30193.619054595256,51.416842150919116,49.67852783203125,1904.3429443359375,2202.414111328125,,100000.0
2026-08-28,PRARUH,,BSE,133.35,100.0,8267700.0,360386.9565217392,,100.0,92.54681818181818,93.34136363636364,6846740.0,6730500.0,3116423.9393939395,317633.6111111111,313584.0427653155,186860.4306066844,1.0713363947582433,2.652944580321715,1.928642438378537,,,,0.6105263157894737,0.7894736842105263,0.8947368421052632,1,0.8768421052631579,3,0.8029579996347613,4358.974763498182,22.94117434158935,64.27390432883253,,,,,
