DATE,SYMBOL,DELIV_QTY,DELIV_PER
20260605,976868,7,87.5
20260605,976872,1,100.0
20260605,976924,10,100.0
20260605,976930,3,100.0
20260605,976943,25,100.0
20260605,976968,14,100.0
20260605,977006,6,100.0
20260605,977009,1,100.0
20260605,977017,19,95.0
20260605,977019,2,100.0
20260605,977029,1,100.0
20260605,977038,1,100.0
20260605,977040,1,100.0
20260605,977068,11,100.0
20260605,977071,0,0.0
20260605,977073,1,100.0
20260605,977093,235,100.0
20260605,977117,6,100.0
20260605,977142,5,100.0
20260605,977172,2,100.0
20260605,977186,1,100.0
20260605,977200,326,100.0
20260605,977226,28,90.32
20260605,977227,21,100.0
20260605,977241,78,100.0
20260605,977250,10,100.0
20260605,977280,4,100.0
20260605,977309,126,100.0
20260605,977331,8,100.0
20260605,977363,1,100.0
20260605,977367,33,53.23
20260605,977380,1,100.0
20260605,977383,106,79.1
20260605,977396,1,100.0
20260605,977399,120,100.0
20260605,977425,1,100.0
20260605,977438,3,100.0
20260605,977440,15,100.0
20260605,977456,1,100.0
20260605,977462,21,100.0
20260605,977469,11,100.0
20260605,977473,6,100.0
20260605,977477,660,96.92
20260605,977488,8,100.0
20260605,977515,50,98.04
20260605,977532,13,100.0
20260605,977534,2,100.0
20260605,977541,177,100.0
20260605,977558,55,98.21
20260605,977576,147,91.3
20260605,977596,1,100.0
20260605,977622,1,100.0
20260605,977648,9,100.0
20260605,977649,105,100.0
20260605,977651,2,100.0
20260605,977705,3,100.0
20260605,977725,83,100.0
20260605,977732,42,100.0
20260605,977740,163,98.79
20260605,977753,47,95.92
20260605,977773,6,100.0
20260605,977801,956,98.96
20260605,977806,12,100.0
20260605,500002,4596,51.91
20260605,500003,29895,51.89
20260605,500008,36479,55.52
20260605,500009,7893,65.9
20260605,500012,388106,67.64
20260605,500014,13515,85.06
20260605,500016,2490,95.04
20260605,500020,17967,43.43
20260605,500023,437,87.23
20260605,500027,461,51.97
20260605,500028,3941,69.04
20260605,500031,15072,47.58
20260605,500032,479825,53.4
20260605,500033,2521,35.86
20260605,500034,210975,43.29
20260605,500038,14427,41.17
20260605,500039,3260,49.98
20260605,500040,1620,49.56
20260605,500041,12,66.67
20260605,500042,467,51.09
20260605,500043,3556,48.64
20260605,500048,4454,55.61
20260605,500049,292691,49.8
20260605,500051,5774,100.0
20260605,500052,37627,71.82
20260605,500058,77086,74.85
20260605,500059,4518,100.0
20260605,500060,44320,100.0
20260605,500067,12504,40.89
20260605,500068,35,70.0
20260605,500069,284,91.03
20260605,500074,5740,88.57
20260605,500078,135,99.26
20260605,500083,4169,83.01
20260605,500084,55921,66.2
20260605,500085,22487,51.11
20260605,500086,220688,76.92
20260605,500087,42007,56.45
20260605,500089,18,100.0
20260605,500092,1258,60.02
20260605,500093,126140,45.51
20260605,500096,27619,53.97
20260605,500097,3366,50.42
20260605,500101,13816,41.6
20260605,500103,622210,43.33
20260605,500104,118215,49.1
20260605,500106,2372538,45.03
20260605,500108,74694,35.51
20260605,500109,71656,34.85
20260605,500110,11542,36.5
20260605,500112,2107510,71.93
20260605,500113,261688,36.28
20260605,500114,73823,79.52
20260605,500116,144942,21.9
20260605,500117,81358,58.44
20260605,500119,11302,66.08
20260605,500120,320,83.99
20260605,500123,185,67.27
20260605,500124,5560,32.47
20260605,500125,16603,57.0
20260605,500126,142,67.94
20260605,500128,77967,70.8
20260605,500133,152,75.25
20260605,500135,9273,53.7
20260605,500136,622,80.26
20260605,500142,8850,71.4
20260605,500143,2850,100.0
20260605,500144,19043,47.4
20260605,500147,3213,50.16
20260605,500148,3364,68.89
20260605,500150,79,79.0
20260605,500151,291,100.0
20260605,500153,63963,40.42
