DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW,EVER_100_DELIV,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M,MOMENTUM_RAW,FOOTPRINT_RAW,STABILITY_RAW,HASMOMENTUMDATA,HASFOOTPRINTDATA,HASSTABILITYHISTORY20D
2026-08-25,SHUKRAPHAR,,NSE,44.08,59.25,35903997.52,28740.21495040151,,,,,,,,,,,1.1496297254470784,3.6716256887244736,2.8460446078820523,,,
2026-08-24,PURSHOTTAM,,BSE,35.4,99.45,10526367.0,182873.9655172414,,,,,,,,,,,1.2121889283900458,42.39614573914844,7.05407445793487,,,
2026-08-24,TIERRA,,BSE,41.92,98.27,11051160.0,138028.9871794872,,,,,,,,,,,1.3005349866854887,23.68476174718871,16.076981693024443,,,
2026-08-21,ACESOFT,,BSE,169.5,100.0,26626077.0,77477.17919075144,,,,,,,,,,,1.5380456566522804,5.047769507680332,3.539738481552629,,,
2026-08-21,BIL,,NSE,831.1,93.75,19111975.6,55377.75366847827,,,,,,,,,,,1.3057957281750092,5.501538248072508,3.945287700492727,,,
2026-08-21,CONSUMER,,NSE,12.28,95.91,30751416.36,96878.81942598188,,,,,,,,,,,1.2628573822591165,8.973784137976088,8.827721956813937,,,
2026-08-20,NATFIT,,BSE,174.55,89.92,9198959.55,44335.28571428572,,,,,,,,,,,1.150115016927934,4.642732686145632,1.9009944847477327,,,
2026-08-20,PFIZER,,NSE,4920.0,86.64,1268115240.0,163822.1911612758,,,,,,,,,,,1.585911000790426,15.310691617118769,7.919701156274257,,,
2026-08-20,STEELCAS,,NSE,358.7,70.07,34513396.6,20269.21402061856,,,,,,,,,,,1.4770188914261986,2.0269870216864714,2.169694572273255,,,
2026-08-20,TIERRA,,BSE,43.86,94.01,9467707.32,75718.20491803279,,,,,,,,,,,1.2505789661448414,47.13823602185865,11.229497018402812,,,
2026-08-20,WINDMACHIN,,NSE,320.5,82.81,81240660.5,37419.280409021405,,,,,,,,,,,1.6094432354595436,3.703407288494392,2.8831909330956886,,,
2026-08-20,WONDERLA,,NSE,490.1,85.98,214768191.3,23389.44294847687,,,,,,,,,,,1.4251293990009717,9.981764222602845,2.867187697255664,,,
2026-08-19,CHANDRIMA,,BSE,6.53,98.35,8566295.61,46374.8128342246,,,,,,,,,,,1.627845739478475,10.727912182314398,7.440189363391851,,,
2026-08-19,JPOLYINVST,,NSE,987.7,85.95,52223649.8,39127.13275193799,,,,,,,,,,,1.514007916067268,6.38213359942933,3.0124058084145497,,,
2026-08-19,PKTEA,,NSE,728.35,96.23,7728521.850000001,95503.47083333333,,,,,,,,,,,1.1375600914177637,24.55410381673588,9.079822921417238,,,
2026-08-18,SOFTTECH,,NSE,413.4,95.23,10145662.8,27506.558291457284,,,,,,,,,,,1.3841021101171993,13.1933775028129,3.470114544921724,,,
2026-08-18,STYLEBAAZA,,NSE,402.65,66.02,1290527475.25,177061.15799927444,,,,,,,,,,,1.3361257957291268,9.630814809761512,6.7960252514520105,,,
2026-08-17,KNAGRI,,NSE,216.19,96.56,23935908.23,66418.66777486911,,,,,,,,,,,1.622848877775005,15.89663379181191,9.37915127026348,,,
2026-08-17,MOCAPITAL,,NSE,53.6,78.13,86089318.4,33043.99747812971,,,,,,,,,,,1.225172612061223,2.459816355128912,2.11400729064202,,,
2026-08-17,PFIZER,,NSE,4829.1,64.56,171090183.9,29205.088602739725,,,,,,,,,,,1.202299090578187,2.346844605626138,1.4883438723669815,,,
2026-08-17,RPPINFRA,,NSE,58.35,94.5,53292630.45,30931.74691930208,,,,,,,,,,,1.5187598620770264,8.24930032370523,4.428511517930125,,,
2026-08-14,DISAQ,,NSE,11661.0,71.07,6530160.0,30249.78145695364,,,,,,,,,,,2.496391620896666,4.326657205234652,1.860727692965764,,,
2026-08-14,KTKBANK,,NSE,309.65,70.82,649136325.75,30792.362979695263,,,,,,,,,,,1.4101058004724365,1.813695378985439,1.2781681381110508,,,
2026-08-13,HIMTEK,,BSE,259.3,100.0,15387380.6,54977.67137809187,,,,,,,,,,,1.400251196578295,4.568750332013842,2.4749231695296965,,,
2026-08-13,HINDPETRO,,NSE,392.9,65.55,2434093294.2,55360.385116279074,,,,,,,,,,,1.3072683430933516,1.7845517244943616,1.4552972600973528,,,
2026-08-13,JPOLYINVST,,NSE,1063.1,94.75,50864019.49999999,76201.16576319544,,,,,,,,,,,1.705042738538301,7.628087009137921,6.597818635339268,,,
2026-08-13,RECLTD,,NSE,346.5,65.48,1878444414.0,45610.71387866471,,,,,,,,,,,1.208398459890895,1.76064038925568,1.2130474505105868,,,
2026-08-13,TLL,,BSE,262.25,78.82,10542450.0,215924.51612903227,,,,,,,,,,,1.301841605417458,1.979878361555921,1.3345587421763996,,,
2026-08-13,TPINDIA,,BSE,17.47,99.94,6661048.949999999,93098.23611111112,,,,,,,,,,,1.257035046595392,2.4180919891991515,2.746699732407487,,,
2026-08-12,EMERALL,,BSE,252.45,91.56,8176855.5,38692.67521367521,,,,,,,,,,,1.1133124904429146,37.48840965006459,3.935209633036382,,,
