DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,TOTAL_TURNOVER,VOLUME,VWAP,VWAP_1M,WHALE_DENSITY,WHALE_DENSITY_1M,ATW,EVER_100_DELIV,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M,IS_FLEXGATE_ALERT,MOMENTUM_RAW,FOOTPRINT_RAW,STABILITY_RAW,MOMENTUM_SCORE,FOOTPRINT_SCORE,STABILITY_SCORE,SIS,Implied_Trades,Whale_Density,AI_WIN_PROBABILITY,AI_APPROVED,CHANDELIER_EXIT,REC_POS_SIZE_INR,ENTRY_PRICE,ATR14,STOP_LOSS,TAKE_PROFIT
2026-09-04,SHOORA,INE0OJZ01019,BSE,68.6,100.0,14200199.999999998,14200200.0,207000,68.6,82.33618181818181,69000.0,2498.3274541529613,4733400.0,True,100.0,100.0,98.98984848484848,397737.0,308811.13636363635,414395.2272727273,397737.0,205702.7435064935,216881.1958874459,True,1.010204597043162,34.26728655505092,21.824851991578267,0.5,1.0,1.0,0.888175022589804,2.9999999999999996,69000.0,81.18341127659103,True,65.66214141845703,100000.0,68.5999984741211,0.9792861938476562,65.66214141845703,
2026-09-04,SWIGGY,INE00H001014,NSE,276.1,80.69,41074763902.700005,51119834391.5,184369387,277.2685597284109,280.71570918893923,770.9007195989313,158.38241691797376,213746.5322167912,False,49.82,40.14181818181819,38.4628787878788,3035946160.08,1826813969.090909,1860612264.904394,37526.455335579376,44460.43248818725,44722.86921320219,True,2.097866892517381,22.075939558965874,4.779356422724623,1.0,0.9166666666666666,0.9166666666666666,0.9330508169158702,192165.75575149053,770.9007195989313,72.08444250949562,True,250.36428440638954,100000.0,276.1000061035156,8.57857186453683,258.66427830287387,
2026-09-04,IIRM,INE670C01026,BSE,138.5,100.0,13561366.0,13499960.0,97916,137.8728706238,132.32834415119063,619.7215189873417,183.64432841487877,85442.78481012658,False,100.0,100.0,94.2021212121212,2773978.95,1758224.5227272732,3059321.143939394,35097.65287206374,24301.349891898357,26294.15454889588,True,1.061547221158888,4.432802364297539,3.249497322731543,0.6666666666666666,0.75,0.8333333333333334,0.7737886919879069,158.71867975905113,619.7215189873417,60.730136294464344,True,120.89642333984375,100000.0,138.5,5.86785888671875,121.24642944335938,
2026-09-03,ENERGYINF,INE05KD23015,BSE,73.13,98.36,438780000.0,451010500.0,6100000,73.93614754098361,74.57303347280335,164864.86486486485,30595.927668235578,12189472.972972972,False,81.10999999999999,82.75045454545453,88.09590909090909,25781000.0,34521125.0,94065939.3939394,2221265.595238095,2281631.1381348018,2692620.3851363435,True,1.1165104147855385,4.664600203081268,4.526992754069841,0.5333333333333333,0.9333333333333332,1.0,0.8773028301491403,35.996634224702085,164864.86486486485,81.18341127659103,True,71.79714423043387,100000.0,73.12999725341797,0.4442852565220424,72.91714423043388,
2026-09-03,GUJJUBHAI,INE311N01016,BSE,99.95,57.43,10632780.95,18549616.0,185233,100.14206971759891,122.31275871490271,1023.3867403314918,348.57928503389184,102484.06629834254,False,62.092,55.316818181818185,61.199090909090906,10095872.010000002,6290732.877272728,6992583.071212122,30816.47545368665,42635.69398336372,48003.21694656138,True,0.938412632392044,1.520579854642595,2.134941631358392,0.1333333333333333,0.4666666666666667,0.8666666666666667,0.5714636697736459,103.75057639737663,1023.3867403314918,63.9019332438682,True,72.0607155936105,53757.20574804414,99.9499969482422,9.2249995640346,75.22500283377511,
2026-09-02,UTIAMC,INE094J01016,NSE,877.0,93.0,339162210.0,364513037.25,415847,876.5556496740388,900.5397785696149,82.11828593996839,16.67686571680192,71981.24748222748,False,66.49,63.81363636363636,57.51803030303029,71852301.92,69312657.50227273,109024005.56969698,16337.048116701171,15018.180959844003,15931.372970229975,True,1.6168842971505646,3.1108947816376094,4.518207414811933,1.0,0.7857142857142857,0.9285714285714286,0.8983113975565906,4711.813449520179,82.11828593996839,70.96188025926044,True,839.9285714285714,100000.0,877.0,12.357142857142858,847.9285714285714,
2026-09-01,QUESTFLOW,INE0OYE01013,BSE,155.25,94.85,22852800.0,23500280.0,155200,151.4193298969072,175.13453333333334,1552.0,303.81340932437683,235002.8,False,94.546,98.76045454545456,99.58681818181816,1903616.0,1190670.4545454546,1515198.9393939397,54838.96547619048,53208.21966243372,63874.78187220312,True,0.952435289445938,15.08237592163365,3.679117064856357,0.5,1.0,1.0,0.888175022589804,97.24479878537618,1552.0000000000002,81.18341127659103,True,133.11428833007812,100000.0,155.25,7.378570556640625,140.5142822265625,
2026-08-31,GMRAIRPORT,INE776C01039,NSE,93.63,85.16,4762123669.44,5653815225.4,59724643,94.66469687227766,102.56352570918344,1119.0047964326532,263.07545901875346,105930.24985292189,False,62.73,56.557272727272725,57.33378787878788,811932516.074,597438918.1713637,1201481035.5245457,32490.42137982361,26981.94660452516,36778.99292900781,True,1.4853370612812264,3.96354459923784,2.880183534589771,0.8,0.9,0.85,0.8546691389096257,44955.27647722852,1119.0047964326532,69.16028664233058,True,86.37428721836635,100000.0,93.62999725341795,2.5235704694475447,90.42928859165737,
2026-08-25,ITADD,INF740KA1SX1,NSE,32.41,98.59,44723207.2,45254836.91,1399698,32.33185795078652,32.70408471239969,7405.809523809524,403.1407104783975,239443.5815343915,False,76.682,69.24636363636363,67.75151515151515,1118539.634,1526358.5086363635,3235059.766818182,14274.825274373306,13184.347946502508,13952.30541212575,True,1.4551704088022186,13.824538161156498,17.1615782812706,0.8181818181818182,1.0,1.0,0.9622369914525292,186.77972870856163,7405.809523809524,78.4733640749727,True,30.65071325574602,100000.0,32.40999984741211,0.5864289147513253,32.06071295057024,
2026-08-17,BFSI,INF769K01HI8,NSE,27.31,97.72,104089770.96,106528401.69,3900354,27.31249565808642,27.48047294527521,2460.791167192429,418.4673108447304,67210.34806940063,False,83.404,69.10909090909091,63.55651515151514,16830542.712,8190550.763636363,12921843.62378788,21677.026330395754,11499.679614150684,16384.480990201148,True,1.5375292331091637,8.055334361760938,4.102073670175836,0.9130434782608696,0.9130434782608696,0.9130434782608696,0.9130434782608698,1548.7164395059835,2460.791167192429,72.20798191652906,True,25.78857093811035,100000.0,27.309999465942383,0.5071430206298828,26.568571090698242,
